filename,final_depth,swap_count,runtime
adder_n28__42CYC.json,293,77,0.22046279907226562
qft_n29__222CYC.json,498,427,1.5284061431884766
knn_n31__18CYC.json,207,34,0.1244497299194336
qugan_n71__72CYC.json,803,266,1.1075575351715088
swap_test_n41__23CYC.json,286,57,0.16299009323120117
wstate_n36__73CYC.json,151,8,0.07433056831359863
cat_n35__36CYC.json,44,7,0.11255145072937012
bv_n30__22CYC.json,55,16,0.061025381088256836
qugan_n39__40CYC.json,347,106,0.4364013671875
multiplier_n45__462CYC.json,3407,1499,5.126335382461548
qft_n63__494CYC.json,1556,2259,14.13249659538269
ghz_n40__41CYC.json,50,8,0.04672574996948242
knn_n67__36CYC.json,463,141,0.3967020511627197
ising_n34__16CYC.json,19,7,0.06943130493164062
ghz_n78__79CYC.json,96,16,0.049182891845703125
cat_n65__66CYC.json,81,14,0.04544472694396973
ising_n66__16CYC.json,19,13,0.11886119842529297
adder_n64__78CYC.json,571,246,0.7669987678527832
bv_n70__40CYC.json,128,42,0.08292365074157715
dnn_n51__58CYC.json,442,154,0.36423611640930176
wstate_n76__153CYC.json,320,17,0.10631251335144043
