filename,final_depth,swap_count,runtime
adder_n28__42CYC.json,339,187,0.3995635509490967
qft_n29__222CYC.json,598,577,1.2037169933319092
knn_n31__18CYC.json,236,139,0.30936527252197266
qugan_n71__72CYC.json,879,555,2.5671181678771973
swap_test_n41__23CYC.json,306,166,0.577808141708374
multiplier_n75__1308CYC.json,10822,6154,19.30307674407959
wstate_n36__73CYC.json,192,99,0.06644725799560547
cat_n35__36CYC.json,74,48,0.01551198959350586
bv_n30__22CYC.json,87,42,0.02742743492126465
qugan_n39__40CYC.json,359,191,0.998542308807373
multiplier_n45__462CYC.json,3808,2065,3.5118234157562256
qft_n63__494CYC.json,1844,3033,9.843055963516235
ghz_n40__41CYC.json,101,73,0.013654470443725586
knn_n67__36CYC.json,518,382,4.450086832046509
ising_n34__16CYC.json,32,46,0.023278236389160156
ghz_n78__79CYC.json,201,147,0.024112462997436523
cat_n65__66CYC.json,158,109,0.02565765380859375
ising_n66__16CYC.json,37,121,0.09874320030212402
adder_n64__78CYC.json,696,657,4.755193471908569
bv_n70__40CYC.json,176,106,0.04251861572265625
dnn_n51__58CYC.json,602,381,1.1572685241699219
wstate_n76__153CYC.json,408,267,0.11240959167480469
