file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/large/knn_n31__18CYC.json,18,426,148,263,41,206,87,235,44,216
benchmarks/polyhedral/large/qugan_n39__40CYC.json,40,1036,error,error,253,500,185,428,150,405
benchmarks/polyhedral/large/qugan_n71__72CYC.json,72,1932,631,933,775,1005,433,814,407,840
benchmarks/polyhedral/large/adder_n64__78CYC.json,78,1156,666,920,572,1032,542,785,347,730
benchmarks/polyhedral/large/cat_n35__36CYC.json,36,37,49,74,22,59,26,63,4,41
benchmarks/polyhedral/large/bv_n30__22CYC.json,22,195,42,100,36,73,27,75,22,65
benchmarks/polyhedral/large/adder_n28__42CYC.json,42,496,179,391,143,407,126,326,121,327
benchmarks/polyhedral/large/multiplier_n75__1308CYC.json,1308,15767,6224,12207,6695,12688,4975,11062,5202,11262
benchmarks/polyhedral/large/cat_n65__66CYC.json,66,67,104,152,43,107,59,121,40,104
benchmarks/polyhedral/large/wstate_n76__153CYC.json,153,601,error,error,151,360,187,372,112,345
benchmarks/polyhedral/large/dnn_n51__58CYC.json,58,1378,386,669,181,586,303,602,194,561
benchmarks/polyhedral/large/knn_n67__36CYC.json,36,930,454,580,169,505,297,533,141,476
benchmarks/polyhedral/large/ising_n66__16CYC.json,16,457,146,49,48,37,84,31,33,29
benchmarks/polyhedral/large/ising_n34__16CYC.json,16,233,54,36,24,33,33,24,5,18
benchmarks/polyhedral/large/qft_n63__494CYC.json,494,8689,3368,1524,3446,1652,2136,1272,2395,1389
benchmarks/polyhedral/large/bv_n70__40CYC.json,40,453,99,211,133,188,51,149,83,154
benchmarks/polyhedral/large/ghz_n78__79CYC.json,79,80,144,197,78,153,76,150,45,121
benchmarks/polyhedral/large/swap_test_n41__23CYC.json,23,606,190,344,99,317,130,312,67,283
benchmarks/polyhedral/large/wstate_n36__73CYC.json,73,281,106,188,69,172,88,180,6,146
benchmarks/polyhedral/large/ghz_n40__41CYC.json,41,42,72,100,22,64,34,75,15,57
benchmarks/polyhedral/large/qft_n29__222CYC.json,222,2117,error,error,785,510,443,430,410,441
benchmarks/polyhedral/large/multiplier_n45__462CYC.json,462,5571,2060,4250,2716,4719,1674,3866,1609,3837
