file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/large/knn_n31__18CYC.json,18,426,121,247,78,238,63,209,30,190
benchmarks/polyhedral/large/qugan_n39__40CYC.json,40,1036,185,473,155,520,160,456,77,408
benchmarks/polyhedral/large/qugan_n71__72CYC.json,72,1932,649,1292,374,906,427,923,145,744
benchmarks/polyhedral/large/adder_n64__78CYC.json,78,1156,607,831,317,641,315,602,184,621
benchmarks/polyhedral/large/cat_n35__36CYC.json,36,37,53,75,9,42,27,63,0,37
benchmarks/polyhedral/large/bv_n30__22CYC.json,22,195,43,82,20,78,27,60,14,44
benchmarks/polyhedral/large/adder_n28__42CYC.json,42,496,184,380,130,379,101,278,40,267
benchmarks/polyhedral/large/multiplier_n75__1308CYC.json,1308,15767,7416,11936,6531,11513,4221,9936,4412,10420
benchmarks/polyhedral/large/cat_n65__66CYC.json,66,67,122,161,18,77,63,122,6,73
benchmarks/polyhedral/large/wstate_n76__153CYC.json,153,601,310,421,63,306,161,374,73,305
benchmarks/polyhedral/large/dnn_n51__58CYC.json,58,1378,321,663,154,456,278,737,114,452
benchmarks/polyhedral/large/knn_n67__36CYC.json,36,930,389,563,182,518,211,449,82,425
benchmarks/polyhedral/large/ising_n66__16CYC.json,16,457,109,48,87,46,70,27,40,24
benchmarks/polyhedral/large/ising_n34__16CYC.json,16,233,41,34,53,46,32,24,8,19
benchmarks/polyhedral/large/qft_n63__494CYC.json,494,8689,3299,2333,2048,1738,1837,1950,1615,1912
benchmarks/polyhedral/large/bv_n70__40CYC.json,40,453,100,181,147,130,56,115,52,98
benchmarks/polyhedral/large/ghz_n78__79CYC.json,79,80,158,197,27,93,85,153,23,88
benchmarks/polyhedral/large/swap_test_n41__23CYC.json,23,606,161,312,100,312,93,265,39,251
benchmarks/polyhedral/large/wstate_n36__73CYC.json,73,281,125,201,20,144,75,178,0,144
benchmarks/polyhedral/large/ghz_n40__41CYC.json,41,42,75,95,11,48,36,76,0,42
benchmarks/polyhedral/large/qft_n29__222CYC.json,222,2117,664,576,473,531,450,575,336,641
benchmarks/polyhedral/large/multiplier_n45__462CYC.json,462,5571,2355,3981,1938,3871,1515,3531,1377,3492
