file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/large/knn_n31__18CYC.json,18,426,139,236,44,214,68,206,32,185
benchmarks/polyhedral/large/qugan_n39__40CYC.json,40,1036,191,359,113,348,153,398,70,320
benchmarks/polyhedral/large/qugan_n71__72CYC.json,72,1932,555,879,295,775,371,757,216,787
benchmarks/polyhedral/large/adder_n64__78CYC.json,78,1156,657,696,246,568,368,615,160,535
benchmarks/polyhedral/large/cat_n35__36CYC.json,36,37,48,74,22,59,26,63,23,57
benchmarks/polyhedral/large/bv_n30__22CYC.json,22,195,42,87,17,60,28,64,9,53
benchmarks/polyhedral/large/adder_n28__42CYC.json,42,496,187,339,83,289,114,301,47,258
benchmarks/polyhedral/large/multiplier_n75__1308CYC.json,1308,15767,6154,10822,5214,10243,4312,9639,3652,9260
benchmarks/polyhedral/large/cat_n65__66CYC.json,66,67,109,158,86,149,59,121,40,99
benchmarks/polyhedral/large/wstate_n76__153CYC.json,153,601,267,408,153,365,139,372,90,339
benchmarks/polyhedral/large/dnn_n51__58CYC.json,58,1378,381,602,191,493,213,616,128,460
benchmarks/polyhedral/large/knn_n67__36CYC.json,36,930,382,518,140,472,213,462,94,425
benchmarks/polyhedral/large/ising_n66__16CYC.json,16,457,121,37,65,31,73,31,38,26
benchmarks/polyhedral/large/ising_n34__16CYC.json,16,233,46,32,20,20,33,28,15,16
benchmarks/polyhedral/large/qft_n63__494CYC.json,494,8689,3033,1844,2105,1447,1636,1808,1424,1739
benchmarks/polyhedral/large/bv_n70__40CYC.json,40,453,106,176,38,127,51,114,27,100
benchmarks/polyhedral/large/ghz_n78__79CYC.json,79,80,147,201,95,162,77,150,63,133
benchmarks/polyhedral/large/swap_test_n41__23CYC.json,23,606,166,306,70,283,102,272,48,251
benchmarks/polyhedral/large/wstate_n36__73CYC.json,73,281,99,192,71,180,65,172,36,158
benchmarks/polyhedral/large/ghz_n40__41CYC.json,41,42,73,101,48,87,33,75,19,60
benchmarks/polyhedral/large/qft_n29__222CYC.json,222,2117,577,598,396,474,432,629,305,527
benchmarks/polyhedral/large/multiplier_n45__462CYC.json,462,5571,2065,3808,1651,3522,1219,3276,1235,3271
