file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/large/knn_n31__18CYC.json,18,426,131,243,62,219,73,204,37,195
benchmarks/polyhedral/large/qugan_n39__40CYC.json,40,1036,197,416,156,650,164,578,85,414
benchmarks/polyhedral/large/qugan_n71__72CYC.json,72,1932,525,1366,352,1194,465,916,220,912
benchmarks/polyhedral/large/adder_n64__78CYC.json,78,1156,593,749,236,616,356,575,213,552
benchmarks/polyhedral/large/cat_n35__36CYC.json,36,37,49,74,45,76,27,63,27,58
benchmarks/polyhedral/large/bv_n30__22CYC.json,22,195,70,92,23,73,37,57,9,53
benchmarks/polyhedral/large/adder_n28__42CYC.json,42,496,189,335,99,291,132,299,80,284
benchmarks/polyhedral/large/multiplier_n75__1308CYC.json,1308,15767,6359,11064,5869,10943,4325,9708,4545,10115
benchmarks/polyhedral/large/cat_n65__66CYC.json,66,67,112,158,70,130,61,121,69,115
benchmarks/polyhedral/large/wstate_n76__153CYC.json,153,601,283,433,184,387,131,368,73,341
benchmarks/polyhedral/large/dnn_n51__58CYC.json,58,1378,338,662,244,488,241,530,117,538
benchmarks/polyhedral/large/knn_n67__36CYC.json,36,930,359,487,154,477,217,448,101,418
benchmarks/polyhedral/large/ising_n66__16CYC.json,16,457,109,35,63,25,77,33,45,26
benchmarks/polyhedral/large/ising_n34__16CYC.json,16,233,53,39,34,28,33,28,16,21
benchmarks/polyhedral/large/qft_n63__494CYC.json,494,8689,2494,1810,2494,2700,1679,1903,1627,1980
benchmarks/polyhedral/large/bv_n70__40CYC.json,40,453,156,160,53,127,70,117,38,120
benchmarks/polyhedral/large/ghz_n78__79CYC.json,79,80,149,199,131,185,82,150,84,154
benchmarks/polyhedral/large/swap_test_n41__23CYC.json,23,606,177,318,100,301,111,267,60,261
benchmarks/polyhedral/large/wstate_n36__73CYC.json,73,281,119,213,63,169,57,174,30,158
benchmarks/polyhedral/large/ghz_n40__41CYC.json,41,42,74,101,26,64,35,75,29,64
benchmarks/polyhedral/large/qft_n29__222CYC.json,222,2117,672,735,479,561,396,684,293,502
benchmarks/polyhedral/large/multiplier_n45__462CYC.json,462,5571,2318,3810,1774,3768,1416,3580,1201,3329
