file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/medium/qf21_n15__52CYC.json,52,359,92,338,81,327,62,303,60,298
benchmarks/polyhedral/medium/multiply_n13__7CYC.json,7,116,44,84,28,80,36,82,22,77
benchmarks/polyhedral/medium/ghz_state_n23__24CYC.json,24,25,34,52,0,25,18,43,0,25
benchmarks/polyhedral/medium/ising_n26__16CYC.json,16,177,33,28,3,14,26,23,3,14
benchmarks/polyhedral/medium/seca_n11__37CYC.json,37,282,42,162,26,145,30,145,19,138
benchmarks/polyhedral/medium/cat_state_n22__23CYC.json,23,24,32,50,0,24,18,42,0,24
benchmarks/polyhedral/medium/bv_n19__22CYC.json,22,129,34,94,29,68,23,87,16,59
benchmarks/polyhedral/medium/multiplier_n15__49CYC.json,49,560,159,416,187,437,131,395,118,382
benchmarks/polyhedral/medium/square_root_n18__203CYC.json,203,2774,1015,2580,1119,2724,587,2240,580,2198
benchmarks/polyhedral/medium/knn_n25__15CYC.json,15,342,error,error,32,167,71,187,29,168
benchmarks/polyhedral/medium/wstate_n27__55CYC.json,55,209,65,131,0,108,48,126,0,108
benchmarks/polyhedral/medium/bv_n14__17CYC.json,17,94,23,77,19,47,19,65,9,43
benchmarks/polyhedral/medium/sat_n11__51CYC.json,51,731,141,608,105,584,115,576,82,558
benchmarks/polyhedral/medium/swap_test_n25__15CYC.json,15,366,error,error,32,168,71,188,29,169
benchmarks/polyhedral/medium/dnn_n16__173CYC.json,173,2832,132,372,78,299,59,284,59,289
benchmarks/polyhedral/medium/qft_n18__134CYC.json,134,819,213,262,238,243,180,236,165,259
benchmarks/polyhedral/medium/qec9xz_n17__16CYC.json,16,95,93,85,104,95,31,62,29,57
benchmarks/polyhedral/medium/bigadder_n18__37CYC.json,37,330,103,298,91,307,65,260,67,249
benchmarks/polyhedral/medium/qram_n20__24CYC.json,24,346,175,305,177,300,102,258,73,235
