file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/medium/qf21_n15__52CYC.json,52,359,94,333,104,324,59,285,41,279
benchmarks/polyhedral/medium/multiply_n13__7CYC.json,7,116,59,95,39,85,42,66,11,63
benchmarks/polyhedral/medium/ghz_state_n23__24CYC.json,24,25,34,47,3,27,18,42,0,25
benchmarks/polyhedral/medium/ising_n26__16CYC.json,16,177,30,22,46,27,24,25,7,19
benchmarks/polyhedral/medium/seca_n11__37CYC.json,37,282,49,171,38,163,30,147,18,113
benchmarks/polyhedral/medium/cat_state_n22__23CYC.json,23,24,34,46,2,26,19,38,0,24
benchmarks/polyhedral/medium/bv_n19__22CYC.json,22,129,35,89,58,69,23,65,12,41
benchmarks/polyhedral/medium/multiplier_n15__49CYC.json,49,560,171,358,141,374,121,357,122,355
benchmarks/polyhedral/medium/square_root_n18__203CYC.json,203,2774,791,2423,728,2319,467,2101,449,2106
benchmarks/polyhedral/medium/knn_n25__15CYC.json,15,342,133,211,62,192,59,176,23,153
benchmarks/polyhedral/medium/wstate_n27__55CYC.json,55,209,60,127,17,108,48,128,0,108
benchmarks/polyhedral/medium/bv_n14__17CYC.json,17,94,23,71,31,54,20,55,6,28
benchmarks/polyhedral/medium/sat_n11__51CYC.json,51,731,168,616,167,630,100,553,63,514
benchmarks/polyhedral/medium/swap_test_n25__15CYC.json,15,366,133,212,62,193,59,177,23,154
benchmarks/polyhedral/medium/dnn_n16__173CYC.json,173,2832,43,451,38,404,35,459,30,395
benchmarks/polyhedral/medium/qft_n18__134CYC.json,134,819,286,401,160,248,200,284,115,318
benchmarks/polyhedral/medium/qec9xz_n17__16CYC.json,16,95,118,105,43,51,42,51,16,50
benchmarks/polyhedral/medium/bigadder_n18__37CYC.json,37,330,107,287,56,240,64,219,32,208
benchmarks/polyhedral/medium/qram_n20__24CYC.json,24,346,176,292,118,258,81,222,71,256
