file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/medium/qf21_n15__52CYC.json,52,359,92,476,92,476,67,341,67,341
benchmarks/polyhedral/medium/multiply_n13__7CYC.json,7,116,47,115,47,115,33,101,33,101
benchmarks/polyhedral/medium/ghz_state_n23__24CYC.json,24,25,35,81,35,81,18,44,18,44
benchmarks/polyhedral/medium/ising_n26__16CYC.json,16,177,34,52,34,52,28,35,28,35
benchmarks/polyhedral/medium/seca_n11__37CYC.json,37,282,46,190,46,190,30,173,30,173
benchmarks/polyhedral/medium/cat_state_n22__23CYC.json,23,24,31,68,31,68,18,43,18,43
benchmarks/polyhedral/medium/bv_n19__22CYC.json,22,129,34,67,34,67,23,72,23,72
benchmarks/polyhedral/medium/multiplier_n15__49CYC.json,49,560,144,499,144,499,131,513,131,513
benchmarks/polyhedral/medium/square_root_n18__203CYC.json,203,2774,855,2855,855,2855,525,2514,525,2514
benchmarks/polyhedral/medium/knn_n25__15CYC.json,15,342,113,314,113,314,68,261,68,261
benchmarks/polyhedral/medium/wstate_n27__55CYC.json,55,209,63,168,63,168,33,179,33,179
benchmarks/polyhedral/medium/bv_n14__17CYC.json,17,94,23,50,23,50,19,49,19,49
benchmarks/polyhedral/medium/sat_n11__51CYC.json,51,731,136,791,136,791,100,664,100,664
benchmarks/polyhedral/medium/swap_test_n25__15CYC.json,15,366,113,315,113,315,68,263,68,263
benchmarks/polyhedral/medium/dnn_n16__173CYC.json,173,2832,60,653,60,653,28,697,28,697
benchmarks/polyhedral/medium/qft_n18__134CYC.json,134,819,165,512,165,512,158,689,158,689
benchmarks/polyhedral/medium/qec9xz_n17__16CYC.json,16,95,77,101,77,101,36,81,36,81
benchmarks/polyhedral/medium/bigadder_n18__37CYC.json,37,330,96,429,96,429,48,361,48,361
benchmarks/polyhedral/medium/qram_n20__24CYC.json,24,346,173,438,173,438,78,312,78,312
