file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/small/adder_n10__24CYC.json,24,166,21,149,25,154,30,152,19,147
benchmarks/polyhedral/small/qft_n4__9CYC.json,9,44,4,33,3,30,4,33,3,30
benchmarks/polyhedral/small/deutsch_n2__5CYC.json,5,10,0,7,0,7,0,7,0,7
benchmarks/polyhedral/small/toffoli_n3__13CYC.json,13,21,2,19,1,18,2,19,1,18
benchmarks/polyhedral/small/vqe_uccsd_n6__1486CYC.json,1486,2124,24,1857,24,1857,24,1857,24,1857
benchmarks/polyhedral/small/bb84_n8__7CYC.json,7,23,0,6,0,6,0,6,0,6
benchmarks/polyhedral/small/basis_trotter_n4__815CYC.json,815,2353,0,1282,0,1282,0,1282,0,1282
benchmarks/polyhedral/small/cat_state_n4__5CYC.json,5,6,0,6,0,6,0,6,0,6
benchmarks/polyhedral/small/dnn_n8__173CYC.json,173,1416,35,271,22,259,42,277,16,257
benchmarks/polyhedral/small/ising_n10__71CYC.json,71,415,0,71,3,76,26,83,3,76
benchmarks/polyhedral/small/qec_en_n5__18CYC.json,18,46,4,30,2,27,4,30,0,26
benchmarks/polyhedral/small/teleportation_n3__7CYC.json,7,12,0,8,0,8,0,8,0,8
benchmarks/polyhedral/small/qaoa_n6__110CYC.json,110,378,18,183,18,183,18,183,18,183
benchmarks/polyhedral/small/hhl_n7__551CYC.json,551,990,65,862,65,855,65,862,65,855
benchmarks/polyhedral/small/bell_n4__14CYC.json,14,53,1,26,0,24,1,26,0,24
benchmarks/polyhedral/small/linearsolver_n3__12CYC.json,12,26,0,20,0,20,0,20,0,20
benchmarks/polyhedral/small/dnn_n2__155CYC.json,155,306,0,213,0,213,0,213,0,213
benchmarks/polyhedral/small/qaoa_n3__12CYC.json,12,32,2,22,1,21,2,22,1,21
benchmarks/polyhedral/small/hs4_n4__10CYC.json,10,28,0,11,0,11,0,11,0,11
benchmarks/polyhedral/small/grover_n2__12CYC.json,12,15,0,11,0,11,0,11,0,11
benchmarks/polyhedral/small/basis_change_n3__22CYC.json,22,85,0,51,0,51,0,51,0,51
benchmarks/polyhedral/small/vqe_uccsd_n4__145CYC.json,145,238,0,187,0,187,0,187,0,187
benchmarks/polyhedral/small/pea_n5__68CYC.json,68,108,9,92,8,97,9,92,8,97
benchmarks/polyhedral/small/fredkin_n3__12CYC.json,12,22,2,18,2,18,2,18,2,18
benchmarks/polyhedral/small/iswap_n2__8CYC.json,8,14,0,10,0,10,0,10,0,10
benchmarks/polyhedral/small/wstate_n3__14CYC.json,14,35,2,28,2,28,2,28,2,28
benchmarks/polyhedral/small/vqe_uccsd_n8__7252CYC.json,7252,9676,200,8813,200,8813,209,8818,172,8790
benchmarks/polyhedral/small/vqe_n4__28CYC.json,28,73,0,37,0,37,0,37,0,37
benchmarks/polyhedral/small/qrng_n4__2CYC.json,2,12,0,3,0,3,0,3,0,3
benchmarks/polyhedral/small/adder_n4__12CYC.json,12,27,2,17,5,20,2,17,5,20
benchmarks/polyhedral/small/error_correctiond3_n5__78CYC.json,78,237,7,148,4,145,7,148,4,144
benchmarks/polyhedral/small/quantumwalks_n2__8CYC.json,8,38,0,22,0,22,0,22,0,22
benchmarks/polyhedral/small/lpn_n5__5CYC.json,5,17,0,10,0,10,0,10,0,10
benchmarks/polyhedral/small/variational_n4__34CYC.json,34,58,0,38,0,38,0,38,0,38
benchmarks/polyhedral/small/simon_n6__9CYC.json,9,56,5,42,4,41,5,42,4,41
benchmarks/polyhedral/small/qpe_n9__21CYC.json,21,153,23,124,18,117,30,131,17,114
