depth,file_path,qops,qbt,sherbrooke2x_swaps_trivial,sherbrooke2x_depth_trivial,time
100,0,12800,256,29479,4152,414.2036991119385
100,1,12800,256,31966,4960,427.61903619766235
100,2,12800,256,32658,5034,426.09875321388245
100,3,12800,256,31059,4939,415.12747502326965
200,0,25600,256,55512,9523,849.3941073417664
200,1,25600,256,50729,8997,662.7230212688446
200,2,25600,256,52018,9197,694.998871088028
200,3,25600,256,50690,8358,664.4096126556396
300,0,38400,256,66866,12184,1035.805980205536
300,1,38400,256,64319,10648,845.6088976860046
300,2,38400,256,76450,13596,1012.2076950073242
300,3,38400,256,68705,11579,927.7001166343689
400,0,51200,256,83518,13900,1357.477008342743
400,1,51200,256,86120,14132,1170.090986251831
400,2,51200,256,79193,13846,1089.1434440612793
400,3,51200,256,83168,14195,1167.7577180862427
500,0,64000,256,99286,16176,1607.2962172031403
500,0,64000,256,99286,16176,1607.2962172031403
500,1,64000,256,97802,16724,1391.249577999115
500,3,64000,256,91923,15001,1336.7061560153961
600,0,76800,256,123953,22748,1713.2273240089417
600,1,76800,256,118019,20221,1814.9616894721985
600,2,76800,256,115834,19389,1752.9494998455048
600,3,76800,256,125619,22559,1885.9181077480316
700,0,89600,256,130566,21744,1809.7319066524506
700,1,89600,256,150163,26228,2221.790143728256
700,2,89600,256,137529,24064,2089.1628897190094
700,3,89600,256,127280,22455,1973.7847442626953
800,0,102400,256,135684,22304,1960.972769498825
800,1,102400,256,128927,21318,2000.4648587703705
800,0,102400,256,135684,22304,1960.972769498825
800,0,102400,256,135684,22304,1960.972769498825
900,0,115200,256,159031,26899,2125.742029428482
900,1,115200,256,135724,22212,1933.9685323238373
900,2,115200,256,158977,27762,2205.130640745163
900,3,115200,256,157406,26649,2249.0247468948364
