file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_700CYC_QSE_3.json,700,40257,35573,6700,35573,6700,19521,4675,19521,4675
benchmarks/polyhedral/queko-bss-81qbt/81QBT_600CYC_QSE_7.json,600,34506,29402,5360,29402,5360,16413,4147,16413,4147
benchmarks/polyhedral/queko-bss-81qbt/81QBT_800CYC_QSE_6.json,800,46008,40562,7513,40562,7513,24569,5982,24569,5982
benchmarks/polyhedral/queko-bss-81qbt/81QBT_200CYC_QSE_4.json,200,11502,11899,2392,11899,2392,7322,1819,7322,1819
benchmarks/polyhedral/queko-bss-81qbt/81QBT_700CYC_QSE_2.json,700,40257,33708,6303,33708,6303,19090,4664,19090,4664
benchmarks/polyhedral/queko-bss-81qbt/81QBT_900CYC_QSE_9.json,900,51759,43945,7835,43945,7835,24721,5997,24721,5997
benchmarks/polyhedral/queko-bss-81qbt/81QBT_500CYC_QSE_5.json,500,28755,24581,4706,24581,4706,14370,3357,14370,3357
benchmarks/polyhedral/queko-bss-81qbt/81QBT_500CYC_QSE_6.json,500,28755,23488,4362,23488,4362,14856,3636,14856,3636
benchmarks/polyhedral/queko-bss-81qbt/81QBT_100CYC_QSE_6.json,100,5751,6036,1203,6036,1203,3730,897,3730,897
benchmarks/polyhedral/queko-bss-81qbt/81QBT_400CYC_QSE_8.json,400,23004,23662,4752,23662,4752,11134,2653,11134,2653
benchmarks/polyhedral/queko-bss-81qbt/81QBT_600CYC_QSE_1.json,600,34506,35083,6854,35083,6854,16616,3963,16616,3963
benchmarks/polyhedral/queko-bss-81qbt/81QBT_400CYC_QSE_7.json,400,23004,22984,4582,22984,4582,11546,2884,11546,2884
benchmarks/polyhedral/queko-bss-81qbt/81QBT_600CYC_QSE_6.json,600,34506,32181,6085,32181,6085,18552,4517,18552,4517
benchmarks/polyhedral/queko-bss-81qbt/81QBT_800CYC_QSE_1.json,800,46008,41869,7771,41869,7771,21747,5145,21747,5145
benchmarks/polyhedral/queko-bss-81qbt/81QBT_300CYC_QSE_4.json,300,17253,15640,2890,15640,2890,9750,2439,9750,2439
benchmarks/polyhedral/queko-bss-81qbt/81QBT_300CYC_QSE_7.json,300,17253,15168,2884,15168,2884,10222,2581,10222,2581
benchmarks/polyhedral/queko-bss-81qbt/81QBT_100CYC_QSE_7.json,100,5751,6426,1367,6426,1367,3854,959,3854,959
