file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/small/adder_n10__24CYC.json,24,166,24,152,24,155,28,145,16,146
benchmarks/polyhedral/small/qft_n4__9CYC.json,9,44,4,36,2,36,4,36,2,36
benchmarks/polyhedral/small/deutsch_n2__5CYC.json,5,10,0,7,0,7,0,7,0,7
benchmarks/polyhedral/small/toffoli_n3__13CYC.json,13,21,2,19,1,18,2,19,1,18
benchmarks/polyhedral/small/vqe_uccsd_n6__1486CYC.json,1486,2124,24,1636,24,1636,24,1636,10,1621
benchmarks/polyhedral/small/bb84_n8__7CYC.json,7,23,0,6,0,6,0,6,0,6
benchmarks/polyhedral/small/basis_trotter_n4__815CYC.json,815,2353,0,1267,0,1267,0,1267,0,1267
benchmarks/polyhedral/small/cat_state_n4__5CYC.json,5,6,0,6,0,6,0,6,0,6
benchmarks/polyhedral/small/dnn_n8__173CYC.json,173,1416,18,403,15,250,22,449,0,245
benchmarks/polyhedral/small/ising_n10__71CYC.json,71,415,0,59,0,59,24,101,0,59
benchmarks/polyhedral/small/qec_en_n5__18CYC.json,18,46,4,28,1,22,4,28,0,22
benchmarks/polyhedral/small/teleportation_n3__7CYC.json,7,12,0,8,0,8,0,8,0,8
benchmarks/polyhedral/small/qaoa_n6__110CYC.json,110,378,17,217,14,215,17,217,6,223
benchmarks/polyhedral/small/hhl_n7__551CYC.json,551,990,63,885,42,852,63,885,31,870
benchmarks/polyhedral/small/bell_n4__14CYC.json,14,53,1,26,0,23,1,26,0,23
benchmarks/polyhedral/small/linearsolver_n3__12CYC.json,12,26,0,20,0,20,0,20,0,20
benchmarks/polyhedral/small/dnn_n2__155CYC.json,155,306,0,213,0,213,0,213,0,213
benchmarks/polyhedral/small/qaoa_n3__12CYC.json,12,32,2,18,1,17,2,18,1,17
benchmarks/polyhedral/small/hs4_n4__10CYC.json,10,28,0,11,0,11,0,11,0,11
benchmarks/polyhedral/small/grover_n2__12CYC.json,12,15,0,11,0,11,0,11,0,11
benchmarks/polyhedral/small/basis_change_n3__22CYC.json,22,85,0,50,0,50,0,50,0,50
benchmarks/polyhedral/small/vqe_uccsd_n4__145CYC.json,145,238,0,167,0,167,0,167,0,167
benchmarks/polyhedral/small/pea_n5__68CYC.json,68,108,8,94,5,93,8,94,3,92
benchmarks/polyhedral/small/fredkin_n3__12CYC.json,12,22,2,17,2,17,2,17,2,17
benchmarks/polyhedral/small/iswap_n2__8CYC.json,8,14,0,10,0,10,0,10,0,10
benchmarks/polyhedral/small/wstate_n3__14CYC.json,14,35,2,28,2,28,2,28,2,28
benchmarks/polyhedral/small/vqe_uccsd_n8__7252CYC.json,7252,9676,200,7822,200,7822,209,7825,130,7723
benchmarks/polyhedral/small/vqe_n4__28CYC.json,28,73,0,23,0,23,0,23,0,23
benchmarks/polyhedral/small/qrng_n4__2CYC.json,2,12,0,3,0,3,0,3,0,3
benchmarks/polyhedral/small/adder_n4__12CYC.json,12,27,2,17,2,17,2,17,0,15
benchmarks/polyhedral/small/error_correctiond3_n5__78CYC.json,78,237,7,142,4,148,7,142,3,141
benchmarks/polyhedral/small/quantumwalks_n2__8CYC.json,8,38,0,22,0,22,0,22,0,22
benchmarks/polyhedral/small/lpn_n5__5CYC.json,5,17,1,8,0,8,1,8,0,8
benchmarks/polyhedral/small/variational_n4__34CYC.json,34,58,0,38,0,38,0,38,0,38
benchmarks/polyhedral/small/simon_n6__9CYC.json,9,56,5,42,3,40,5,42,3,40
benchmarks/polyhedral/small/qpe_n9__21CYC.json,21,153,25,122,14,106,26,119,12,108
