file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/small/adder_n10__24CYC.json,24,166,21,149,21,152,27,142,11,130
benchmarks/polyhedral/small/qft_n4__9CYC.json,9,44,4,33,2,32,4,33,2,32
benchmarks/polyhedral/small/deutsch_n2__5CYC.json,5,10,0,7,0,7,0,7,0,7
benchmarks/polyhedral/small/toffoli_n3__13CYC.json,13,21,2,19,1,18,2,19,1,18
benchmarks/polyhedral/small/vqe_uccsd_n6__1486CYC.json,1486,2124,24,1636,24,1636,24,1636,10,1621
benchmarks/polyhedral/small/bb84_n8__7CYC.json,7,23,0,6,0,6,0,6,0,6
benchmarks/polyhedral/small/basis_trotter_n4__815CYC.json,815,2353,0,1267,0,1267,0,1267,0,1267
benchmarks/polyhedral/small/cat_state_n4__5CYC.json,5,6,0,6,0,6,0,6,0,6
benchmarks/polyhedral/small/dnn_n8__173CYC.json,173,1416,18,404,21,253,22,456,8,251
benchmarks/polyhedral/small/ising_n10__71CYC.json,71,415,0,59,46,103,28,107,2,60
benchmarks/polyhedral/small/qec_en_n5__18CYC.json,18,46,4,27,4,28,4,27,0,22
benchmarks/polyhedral/small/teleportation_n3__7CYC.json,7,12,0,8,0,8,0,8,0,8
benchmarks/polyhedral/small/qaoa_n6__110CYC.json,110,378,18,180,14,218,18,180,7,234
benchmarks/polyhedral/small/hhl_n7__551CYC.json,551,990,63,858,44,848,63,858,34,849
benchmarks/polyhedral/small/bell_n4__14CYC.json,14,53,2,26,0,23,2,26,0,23
benchmarks/polyhedral/small/linearsolver_n3__12CYC.json,12,26,0,20,0,20,0,20,0,20
benchmarks/polyhedral/small/dnn_n2__155CYC.json,155,306,0,213,0,213,0,213,0,213
benchmarks/polyhedral/small/qaoa_n3__12CYC.json,12,32,2,18,1,17,2,18,1,16
benchmarks/polyhedral/small/hs4_n4__10CYC.json,10,28,0,11,0,11,0,11,0,11
benchmarks/polyhedral/small/grover_n2__12CYC.json,12,15,0,11,0,11,0,11,0,11
benchmarks/polyhedral/small/basis_change_n3__22CYC.json,22,85,0,50,0,50,0,50,0,50
benchmarks/polyhedral/small/vqe_uccsd_n4__145CYC.json,145,238,0,167,0,167,0,167,0,167
benchmarks/polyhedral/small/pea_n5__68CYC.json,68,108,8,94,7,93,8,94,3,92
benchmarks/polyhedral/small/fredkin_n3__12CYC.json,12,22,2,17,2,17,2,17,2,16
benchmarks/polyhedral/small/iswap_n2__8CYC.json,8,14,0,10,0,10,0,10,0,10
benchmarks/polyhedral/small/wstate_n3__14CYC.json,14,35,2,28,2,28,2,28,2,28
benchmarks/polyhedral/small/vqe_uccsd_n8__7252CYC.json,7252,9676,200,7824,200,7824,206,7820,83,7700
benchmarks/polyhedral/small/vqe_n4__28CYC.json,28,73,0,23,0,23,0,23,0,23
benchmarks/polyhedral/small/qrng_n4__2CYC.json,2,12,0,3,0,3,0,3,0,3
benchmarks/polyhedral/small/adder_n4__12CYC.json,12,27,2,17,2,17,2,17,1,15
benchmarks/polyhedral/small/error_correctiond3_n5__78CYC.json,78,237,7,142,11,151,7,142,1,137
benchmarks/polyhedral/small/quantumwalks_n2__8CYC.json,8,38,0,22,0,22,0,22,0,22
benchmarks/polyhedral/small/lpn_n5__5CYC.json,5,17,1,9,0,8,1,9,0,8
benchmarks/polyhedral/small/variational_n4__34CYC.json,34,58,0,38,0,38,0,38,0,38
benchmarks/polyhedral/small/simon_n6__9CYC.json,9,56,5,42,6,42,5,42,3,35
benchmarks/polyhedral/small/qpe_n9__21CYC.json,21,153,23,124,25,122,33,128,13,117
