file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.4D2_0.json,45,450,416,266,347,239,174,186,137,166
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_1.json,45,495,117,231,52,217,52,203,22,193
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.8D2_9.json,45,360,638,314,541,275,241,192,237,180
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.4D2_4.json,45,540,401,284,362,271,173,192,124,189
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.4D2_3.json,45,360,393,268,415,246,145,153,174,166
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.5D2_1.json,45,495,501,293,426,266,200,186,165,183
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.4D2_8.json,45,360,408,242,344,217,135,139,153,152
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.6D1_.1D2_1.json,45,585,110,269,73,259,55,255,29,249
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.5D2_2.json,45,315,472,283,409,247,196,159,157,159
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.3D2_0.json,45,495,304,259,300,261,142,212,98,188
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.8D2_3.json,45,360,error,error,528,274,260,187,224,178
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.3D2_4.json,45,405,250,200,251,188,105,143,124,166
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.3D2_8.json,45,135,279,203,255,203,115,116,113,131
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.3D2_9.json,45,315,322,230,215,195,96,142,124,146
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.3D2_9.json,45,585,251,232,228,213,138,189,120,179
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.6D2_8.json,45,270,error,error,365,223,181,152,209,165
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_9.json,45,495,129,207,60,182,49,183,34,165
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.5D2_9.json,45,405,510,285,361,248,195,192,160,172
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.1D2_9.json,45,135,100,96,47,81,39,74,27,71
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.3D2_9.json,45,225,302,216,265,185,142,136,114,127
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.6D1_.1D2_8.json,45,585,92,240,42,227,52,214,27,216
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.7D2_5.json,45,315,598,317,472,259,244,176,189,160
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.3D2_0.json,45,405,276,201,291,209,157,154,115,149
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.2D2_3.json,45,540,235,198,157,175,95,157,64,144
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.5D2_6.json,45,315,385,230,380,224,209,169,165,165
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.4D2_9.json,45,180,398,235,423,259,140,134,122,126
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.4D2_4.json,45,360,363,215,313,210,125,149,132,151
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.2D2_0.json,45,540,198,213,216,220,87,184,84,177
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.3D2_0.json,45,315,292,197,263,178,107,120,132,136
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.4D2_2.json,45,270,error,error,270,194,167,156,142,130
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.2D2_5.json,45,540,235,233,169,187,85,158,84,162
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.7D2_1.json,45,405,553,293,586,289,246,204,212,189
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_8.json,45,495,83,198,41,186,45,186,17,174
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.1D2_9.json,45,315,130,142,70,117,59,114,43,111
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.6D2_9.json,45,450,611,339,430,263,183,184,181,182
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.5D2_8.json,45,315,614,318,422,259,222,172,214,179
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_3.json,45,495,120,225,68,225,49,192,44,198
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.7D2_3.json,45,315,585,308,494,246,252,183,201,174
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.1D2_1.json,45,45,84,127,40,81,37,74,22,66
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.3D2_3.json,45,495,388,276,286,257,133,174,123,196
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.7D2_6.json,45,315,527,260,477,240,240,178,226,186
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.8D2_1.json,45,360,537,279,713,322,260,190,248,189
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.6D2_3.json,45,450,586,327,521,297,238,206,188,190
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.7D1_.1D2_1.json,45,675,116,262,45,239,54,240,26,234
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.8D2_0.json,45,360,619,310,591,307,260,190,228,179
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.2D2_4.json,45,90,error,error,149,145,98,110,68,101
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.1D2_6.json,45,315,135,196,44,155,40,151,28,146
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.6D1_.2D2_1.json,45,630,233,269,99,223,84,219,73,203
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.4D2_7.json,45,450,354,244,261,226,195,190,125,166
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.2D2_0.json,45,450,216,221,131,184,89,160,78,158
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.5D2_6.json,45,225,465,272,418,244,196,161,166,148
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.1D2_1.json,45,135,101,96,63,77,51,77,17,60
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.1D2_3.json,45,315,121,194,69,164,44,143,25,144
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.2D2_8.json,45,270,274,184,225,159,83,106,74,106
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.1D2_3.json,45,405,136,169,82,162,43,139,40,144
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_6.json,45,495,95,224,83,225,52,203,30,196
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.7D2_7.json,45,405,603,305,705,355,221,180,208,172
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.5D2_6.json,45,405,476,292,563,293,155,149,152,163
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.3D2_8.json,45,495,269,224,259,238,108,160,111,161
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.6D2_0.json,45,270,570,299,392,236,258,201,181,154
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.2D2_6.json,45,360,202,192,195,182,93,144,75,153
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.3D2_4.json,45,225,326,205,317,196,116,115,109,119
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.4D2_5.json,45,270,385,236,347,224,182,163,128,139
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.4D2_8.json,45,540,402,268,258,219,144,181,154,194
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_0.json,45,495,128,216,83,201,56,192,47,189
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.1D2_8.json,45,225,137,167,29,96,28,94,24,100
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.5D2_6.json,45,495,390,277,392,260,138,170,161,176
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.7D2_5.json,45,405,598,311,493,259,222,181,266,201
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.6D1_.1D2_9.json,45,585,error,error,65,235,48,215,35,207
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.3D2_2.json,45,585,305,257,220,234,137,200,131,206
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.6D2_5.json,45,270,482,276,525,256,202,163,189,159
