file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.4D2_0.json,45,450,393,247,147,118,140,144,98,109
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_1.json,45,495,119,170,29,85,50,168,14,75
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.8D2_9.json,45,360,516,232,253,157,158,159,143,142
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.4D2_4.json,45,540,369,218,167,163,175,178,66,106
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.4D2_3.json,45,360,368,190,142,112,121,125,75,103
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.5D2_1.json,45,495,346,202,211,170,170,167,90,140
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.4D2_8.json,45,360,303,169,126,92,145,133,74,84
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.6D1_.1D2_1.json,45,585,140,228,30,107,37,154,11,75
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.5D2_2.json,45,315,484,234,186,115,151,129,97,104
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.3D2_0.json,45,495,199,151,107,117,119,152,49,103
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.8D2_3.json,45,360,476,224,239,154,241,196,126,122
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.3D2_4.json,45,405,255,177,101,105,104,135,47,86
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.3D2_8.json,45,135,229,127,91,69,83,77,41,57
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.3D2_9.json,45,315,261,135,120,106,91,104,65,89
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.3D2_9.json,45,585,241,212,91,142,113,147,61,103
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.6D2_8.json,45,270,410,205,226,130,139,128,87,101
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_9.json,45,495,99,165,33,80,50,134,11,59
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.5D2_9.json,45,405,358,189,180,162,150,157,96,120
