depth,file_path,qops,qbt,sherbrooke2x_swaps_trivial,sherbrooke2x_depth_trivial,time
100,0,12800,256,19683,1640,989.6540694236755
100,1,12800,256,19423,1580,974.7155334949493
100,2,12800,256,21038,1714,1076.2563395500183
100,3,12800,256,19957,1694,1014.1005680561066
200,0,25600,256,34039,2997,1231.8743929862976
200,1,25600,256,32027,3093,1130.8371994495392
200,2,25600,256,35188,3372,1292.8679356575012
200,3,25600,256,35849,3669,1307.655391216278
300,0,38400,256,41031,3616,1425.2246243953705
300,1,38400,256,45053,4295,1263.524582862854
300,2,38400,256,51617,4874,1399.1518125534058
300,3,38400,256,49111,4893,1228.9419798851013
400,0,51200,256,61170,5966,1439.1221511363983
400,1,51200,256,62598,5804,1695.0866754055023
400,2,51200,256,60465,5878,1514.9815034866333
400,3,51200,256,63784,6639,1463.8384926319122
500,0,64000,256,75281,6995,1554.9352052211761
500,1,64000,256,70017,7069,1678.8699650764465
500,2,64000,256,67860,6755,1661.6967594623566
500,3,64000,256,69432,7106,1669.5441405773163
600,0,76800,256,88192,8812,1901.060935497284
600,1,76800,256,86482,8227,1843.738643169403
600,2,76800,256,76263,7418,1439.3255441188812
600,3,76800,256,96519,9790,1588.5555515289307
700,0,89600,256,97704,9749,1527.1016237735748
700,1,89600,256,102409,10941,1691.0351061820984
700,2,89600,256,97225,9737,1795.1352157592773
700,3,89600,256,91026,8758,1872.3774070739746
800,0,102400,256,111749,11518,1585.1117131710052
800,1,102400,256,111846,11547,1656.0642387866974
800,2,102400,256,106826,10565,2114.6864955425262
800,3,102400,256,93223,9050,1676.557744026184
900,0,115200,256,98816,10192,1864.2449042797089
900,1,115200,256,93943,9508,1534.0439944267273
900,2,115200,256,110389,11320,2004.9503672122955
900,3,115200,256,128051,14364,1907.0901930332184
