depth,file_path,qops,qbt,sherbrooke2x_swaps_trivial,sherbrooke2x_depth_trivial,time
100,0,12800,256,26375,3787,1.2682898044586182
100,1,12800,256,29247,3964,1.186356544494629
100,2,12800,256,26194,3361,1.2637453079223633
100,3,12800,256,28494,4268,1.29978609085083
200,0,25600,256,50586,7024,2.476072311401367
200,1,25600,256,45621,6228,2.239800453186035
200,2,25600,256,47898,6405,2.4338338375091553
200,3,25600,256,47676,6377,2.425305128097534
300,0,38400,256,59820,8519,3.2505569458007812
300,1,38400,256,58793,8094,3.2215991020202637
300,2,38400,256,66215,9017,3.374208927154541
300,3,38400,256,61543,8757,3.259676456451416
400,0,51200,256,82349,11890,4.271914482116699
400,1,51200,256,69321,9275,4.1867640018463135
400,2,51200,256,82419,11567,4.289873361587524
400,3,51200,256,76840,10703,4.17136287689209
500,0,64000,256,101177,14653,5.38807225227356
500,1,64000,256,82719,11613,4.930694580078125
500,2,64000,256,88870,12092,5.219386339187622
500,3,64000,256,86719,11385,5.044159650802612
600,0,76800,256,109988,15728,6.151209354400635
600,1,76800,256,119958,17796,6.407821893692017
600,2,76800,256,113351,16400,6.2855305671691895
600,3,76800,256,98473,13354,6.15441107749939
700,0,89600,256,123695,17830,7.07169246673584
700,1,89600,256,120439,16506,7.0425498485565186
700,2,89600,256,127929,18336,7.360074281692505
700,3,89600,256,126508,18472,7.184646129608154
800,0,102400,256,146612,20413,8.172295331954956
800,1,102400,256,129754,17709,7.67517876625061
800,2,102400,256,143919,20454,8.157684564590454
800,3,102400,256,141608,19668,8.235854387283325
900,0,115200,256,149759,21253,9.019852876663208
900,1,115200,256,130321,16677,8.630467414855957
900,2,115200,256,155063,22381,9.066166639328003
900,3,115200,256,149295,20098,8.825217962265015
