file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_6.json,700,26839,9769,4377,6563,3369,3768,2885,2964,2506
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_3.json,600,23004,8748,4057,6557,3165,3337,2508,2219,1984
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_0.json,400,15336,6192,2658,4575,2041,2469,1827,1920,1528
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_6.json,900,34506,12053,5649,10065,4749,6077,4501,4020,3361
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_0.json,600,23004,8374,3897,5801,3053,3654,2738,2511,2045
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_5.json,700,26839,8385,4139,7046,3574,3995,2961,2786,2350
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_2.json,300,11502,4012,1791,3281,1476,2238,1475,1314,1094
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_4.json,800,30672,10619,5137,8499,4293,5824,4017,3489,2784
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_7.json,900,34506,12466,5707,9577,4468,5486,3839,3814,3135
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_7.json,100,3834,1756,767,1094,542,1054,672,450,325
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_4.json,700,26839,9108,4092,7409,3392,4667,3429,2955,2444
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_3.json,200,7668,3230,1355,2047,978,1673,1206,823,612
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_5.json,500,19170,7690,3315,4838,2485,3316,2447,2335,1805
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_0.json,900,34506,11541,5623,9862,5115,5330,4114,3714,3166
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_1.json,300,11502,3611,1621,3334,1507,2595,1660,1097,929
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_5.json,900,34506,11545,5672,9506,4407,5522,4140,3618,3165
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_4.json,600,23004,8646,3925,6273,3096,3663,2748,2466,2024
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_3.json,300,11502,4125,1822,3112,1450,2359,1563,1184,1065
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_9.json,800,30672,9722,4711,8294,4127,4494,3436,2937,2536
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_0.json,500,19170,7908,3452,5154,2668,3164,2315,1925,1664
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_6.json,100,3834,1881,755,1087,431,909,555,448,353
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_9.json,500,19170,6695,3008,4817,2448,3198,2351,2022,1783
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_8.json,700,26839,10656,4862,7335,3698,4267,2993,2820,2350
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_5.json,800,30672,11584,5302,8297,4146,4890,3645,3264,2821
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_7.json,700,26839,9860,4412,7520,3844,3974,3005,2868,2515
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_1.json,400,15336,5982,2671,3732,1811,3209,2293,1694,1327
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_2.json,800,30672,11280,5142,8551,4167,5482,4045,3233,2678
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_2.json,400,15336,5877,2538,4285,2083,2772,2148,1340,1141
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_1.json,900,34506,11226,5272,9088,4914,5342,4049,4323,3351
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_7.json,600,23004,8654,3889,6592,3290,3773,2693,2558,2009
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_3.json,500,19170,6510,2953,5113,2518,3729,2626,2116,1716
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_2.json,700,26839,8503,4055,7185,3605,4221,3191,3023,2408
