file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_6.json,700,26839,9524,5576,13874,6418,6241,5087,6480,5164
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_3.json,600,23004,10676,5180,14278,6013,4371,4185,5648,4323
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_0.json,400,15336,6754,3329,8744,3679,3451,2825,3906,2884
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_6.json,900,34506,12007,6947,22670,9130,6973,6236,6538,6159
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_0.json,600,23004,9427,4906,15764,6335,5768,4388,5164,4272
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_5.json,700,26839,11032,5851,13860,6464,4941,4966,5671,5034
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_2.json,300,11502,5067,2502,6785,2911,3060,2189,2673,2068
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_4.json,800,30672,12743,6558,13524,6807,6545,5743,6347,5707
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_7.json,900,34506,14491,7329,17228,7929,7656,6418,6864,6234
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_7.json,100,3834,2283,971,2651,1022,1194,770,1084,730
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_4.json,700,26839,10176,5676,13276,6258,5951,5015,6157,5069
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_3.json,200,7668,3731,1690,4929,2062,2202,1448,1591,1366
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_5.json,500,19170,8734,4275,11235,4730,4824,3683,3833,3473
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_0.json,900,34506,13797,7451,16547,7952,7396,6472,6463,6296
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_1.json,300,11502,4649,2466,6872,2984,2433,2091,3477,2292
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_5.json,900,34506,13739,7299,17554,7925,6699,6274,7248,6336
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_4.json,600,23004,10592,5087,11284,5287,4909,4276,6227,4509
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_3.json,300,11502,5498,2612,5621,2648,2689,2135,2978,2219
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_9.json,800,30672,13184,6722,14008,6923,5624,5477,6635,5624
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_0.json,500,19170,8521,4196,9250,4448,4367,3628,3725,3555
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_6.json,100,3834,2298,945,2635,1067,1220,736,1084,744
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_9.json,500,19170,7868,4111,11680,4971,4255,3567,5300,3713
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_8.json,700,26839,10491,5580,14720,6401,6156,4988,6049,4925
