file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_6.json,700,26839,14159,8106,12697,7866,5254,4573,6617,5664
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_3.json,600,23004,10811,6161,9832,5932,4834,4209,4157,3594
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_0.json,400,15336,7413,4410,7203,4019,3745,3044,3163,2641
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_6.json,900,34506,14581,8632,15550,9196,7090,6460,4666,4533
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_0.json,600,23004,10978,6783,11415,6862,5811,4782,4497,3854
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_5.json,700,26839,12503,7305,12305,7544,4973,4431,4517,3755
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_2.json,300,11502,6234,3724,5407,3341,2542,2126,2218,1995
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_4.json,800,30672,14166,7961,13245,7993,7022,5731,4598,4163
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_7.json,900,34506,16391,9362,14470,8607,8060,6835,7963,6351
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_7.json,100,3834,2890,1490,1728,922,1362,952,1087,977
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_4.json,700,26839,11331,6467,11404,7247,4876,4164,6064,5126
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_3.json,200,7668,4701,2378,4309,2366,2307,1688,2169,1715
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_5.json,500,19170,10407,6011,8407,5343,4840,3799,4167,3752
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_0.json,900,34506,14094,8428,16091,9461,5389,5081,5510,5123
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_1.json,300,11502,6578,3867,6463,3604,2916,2340,2620,2137
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_5.json,900,34506,timeout,timeout,16015,9670,6198,5814,7277,6167
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_4.json,600,23004,11590,6503,11080,6633,4214,3957,4063,3417
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_3.json,300,11502,6764,3907,5032,3009,2943,2311,2483,1996
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_9.json,800,30672,13346,7763,14711,8636,5228,4531,6718,5877
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_0.json,500,19170,9875,5765,9126,5600,4086,3568,3438,2892
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_6.json,100,3834,2158,1113,1818,1114,1087,881,1129,795
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_9.json,500,19170,8845,5026,8115,4701,4554,3564,3366,3031
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_8.json,700,26839,11353,7021,11628,6897,5050,4238,4645,4317
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_5.json,800,30672,11424,6906,14498,8528,7377,6029,6066,5009
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_7.json,700,26839,13679,7759,timeout,timeout,5292,4411,3891,3404
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_1.json,400,15336,7089,4124,7636,4469,3399,2792,3563,3130
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_2.json,800,30672,14611,8666,13078,7729,6107,5106,5877,5211
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_2.json,400,15336,8255,4666,6814,4140,3000,2667,3407,2886
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_1.json,900,34506,15307,9468,16018,9456,8154,6738,6595,5662
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_7.json,600,23004,10011,6098,11137,6576,5536,4589,4376,4035
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_3.json,500,19170,10188,5856,8803,5184,4737,3809,4218,3680
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_2.json,700,26839,11470,6771,11617,6957,5221,4715,5290,4610
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_4.json,100,3834,2164,1169,2433,1331,1280,975,1109,949
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_8.json,400,15336,8571,5040,6631,4024,3668,3128,3766,2957
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_8.json,800,30672,12575,7560,12792,7678,6825,5661,6846,5714
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_4.json,400,15336,7559,4342,6625,4335,3629,2996,2906,2623
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_8.json,600,23004,11494,6456,11888,6767,4740,4091,4432,3721
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_0.json,300,11502,5476,3091,5355,3059,2701,2216,2349,1961
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_8.json,500,19170,8784,5365,10206,6090,4366,3561,4365,3635
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_9.json,200,7668,3626,2205,4326,2310,1986,1712,1715,1388
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_4.json,500,19170,9365,5437,9262,5160,4025,3426,4716,3869
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_1.json,500,19170,8790,5116,7990,4777,3848,3383,3293,3029
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_9.json,400,15336,timeout,timeout,7469,4454,3498,2708,3235,2692
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_2.json,100,3834,2480,1267,2335,1357,1257,991,1171,867
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_1.json,100,3834,2797,1473,2220,1249,1219,777,1289,797
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_6.json,200,7668,3905,2285,4205,2547,2166,1711,2005,1600
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_0.json,700,26839,14216,8110,12362,7390,4761,4204,5745,4819
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_2.json,200,7668,4254,2399,4636,2673,2409,1673,1834,1427
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_7.json,500,19170,9938,5916,9286,5264,4554,3964,4293,3545
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_2.json,900,34506,12491,7881,13888,8446,7231,6308,5607,4946
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_0.json,800,30672,14764,8575,14549,8590,4974,4348,5288,4808
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_3.json,400,15336,7481,4576,7169,4124,3247,2583,3016,2440
