cycle,index,qops,qbt,swaps_distance_only,depth_distance_only,swaps_layer_adjusted,depth_layer_adjusted,swaps_qlosure,depth_qlosure,swaps_sabre_qlosure,depth_sabre_qlosure,swaps_our_layout_qlosure,depth_our_layout_qlosure
100,0,5751,81,2401,1071,2433,1192,1637,639,1165,509,1095,422
100,1,5751,81,2479,1092,2312,1130,1519,591,1440,638,1188,450
100,2,5751,81,2293,1034,2222,997,1673,774,1262,529,1156,509
100,3,5751,81,2743,1223,2507,1241,1643,673,1135,433,1603,534
100,4,5751,81,2501,1138,2183,946,1770,745,1314,603,1167,488
100,5,5751,81,2440,1059,2533,1132,1898,719,1277,569,1245,505
100,6,5751,81,2444,1060,2044,951,1719,754,1227,522,1208,510
100,7,5751,81,2570,1040,2154,932,1671,636,1606,638,1200,440
100,8,5751,81,2671,1066,2303,1108,1507,628,1424,582,1606,685
100,9,5751,81,2697,1232,2358,954,1854,756,1305,484,1405,588
200,0,11502,81,4810,2178,4561,1975,3303,1507,3030,1404,2466,1087
200,1,11502,81,4785,2187,3965,1854,3010,1361,2589,1086,2520,1096
200,2,11502,81,4895,2083,4241,1905,3265,1359,2461,1193,2366,1042
200,3,11502,81,4644,2009,4210,2006,3225,1311,2326,1041,2441,1198
200,4,11502,81,4745,2428,4280,1848,3383,1506,2653,1165,2680,1123
200,5,11502,81,5119,2307,4718,2099,3321,1607,2405,1142,3337,1468
200,6,11502,81,4983,2094,4666,2109,3532,1548,2764,1121,2538,1088
200,7,11502,81,5016,2401,4268,1931,3191,1488,2364,1049,2377,1087
200,8,11502,81,4488,1989,4554,2350,3277,1513,2591,1217,2531,1148
200,9,11502,81,4198,1976,4494,1962,3116,1314,2442,1131,2335,995
300,0,17253,81,6423,3174,6203,2691,4396,2025,3861,1728,3635,1597
300,1,17253,81,6501,2957,7089,3234,4575,1932,3978,1692,4264,1949
300,2,17253,81,6660,3022,6511,2987,4210,1797,3841,1647,3697,1763
300,3,17253,81,6039,2632,7043,3085,4978,2306,3933,1703,4108,1808
300,4,17253,81,5852,2694,6299,2748,4026,1985,4206,1870,3779,1574
300,5,17253,81,6193,2816,7010,3325,4328,1887,3875,1734,3578,1654
300,6,17253,81,6520,3068,6718,3019,4989,2172,3740,1618,4037,1694
300,7,17253,81,6719,2877,6374,2888,4626,2065,3969,1759,4296,1974
