filename,depth,qops,swap_count,final_depth,runtime,init_time
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/adder_n28__42CYC.json,233,,88,267,0.0903,0.112
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/adder_n64__78CYC.json,461,,205,525,0.5179,0.0816
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/bv_n30__22CYC.json,24,,7,48,0.0125,0.0384
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/bv_n70__40CYC.json,42,,18,93,0.0296,0.0485
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/cat_n35__36CYC.json,37,,0,37,0.0048,0.042
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/cat_n65__66CYC.json,67,,0,67,0.0049,0.0348
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/dnn_n51__58CYC.json,293,,80,405,0.5653,0.0935
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/ghz_n40__41CYC.json,42,,0,42,0.003,0.0326
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/ghz_n78__79CYC.json,80,,8,87,0.0061,0.0337
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/ising_n34__16CYC.json,10,,28,26,0.0251,0.043
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/ising_n66__16CYC.json,10,,62,28,0.0975,0.0523
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/knn_n31__18CYC.json,133,,45,206,0.0427,0.054
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/knn_n67__36CYC.json,277,,108,432,0.1619,0.0782
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/multiplier_n45__462CYC.json,2440,,1257,3326,2.6297,0.288
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/multiplier_n75__1308CYC.json,6928,,4046,9455,19.5991,1.4859
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/qft_n29__222CYC.json,225,,308,516,0.8641,0.2289
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/qft_n63__494CYC.json,497,,1520,1582,7.7316,0.487
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/qugan_n39__40CYC.json,260,,56,349,0.2057,0.0759
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/qugan_n71__72CYC.json,468,,202,748,2.1596,0.1124
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/swap_test_n41__23CYC.json,174,,65,278,0.0999,0.0638
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/wstate_n36__73CYC.json,144,,0,144,0.0153,0.0381
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/wstate_n76__153CYC.json,304,,7,308,0.1117,0.1101
