filename,final_depth,swap_count,runtime,init_time
bigadder_n18__37CYC.json,221,47,0.0312495231628417,0.0086619853973388
bv_n14__17CYC.json,38,21,0.0025610923767089,0.0027060508728027
bv_n19__22CYC.json,51,29,0.0054340362548828,0.002875804901123
cat_state_n22__23CYC.json,36,12,0.001127004623413,0.0033595561981201
dnn_n16__173CYC.json,536,28,0.0783178806304931,0.0038831233978271
ghz_state_n23__24CYC.json,37,12,0.0006463527679443,0.0036036968231201
ising_n26__16CYC.json,26,14,0.003244400024414,0.0045812129974365
knn_n25__15CYC.json,174,36,0.0105173587799072,0.0045926570892333
multiplier_n15__49CYC.json,337,96,0.0633575916290283,0.0086925029754638
multiply_n13__7CYC.json,69,32,0.0065240859985351,0.0035028457641601
qec9xz_n17__16CYC.json,50,26,0.0093977451324462,0.0089321136474609
qf21_n15__52CYC.json,276,56,0.0140700340270996,0.0050163269042968
qft_n18__134CYC.json,380,148,0.1368649005889892,0.0215532779693603
qram_n20__24CYC.json,202,82,0.0259287357330322,0.0087924003601074
sat_n11__51CYC.json,545,103,0.0314021110534668,0.0032801628112792
seca_n11__37CYC.json,135,31,0.0126760005950927,0.0026857852935791
square_root_n18__203CYC.json,1947,398,0.1539366245269775,0.0066444873809814
swap_test_n25__15CYC.json,175,36,0.0143969058990478,0.0110032558441162
wstate_n27__55CYC.json,120,12,0.0044381618499755,0.0051360130310058
