filename,final_depth,swap_count,runtime,init_time
bigadder_n18__37CYC.json,221,33,0.020025968551635742,0.0009922981262207031
bv_n14__17CYC.json,29,12,0.002482891082763672,0.0009381771087646484
bv_n19__22CYC.json,40,20,0.00577855110168457,0.0020186901092529297
cat_state_n22__23CYC.json,25,1,0.0010607242584228516,0.001409292221069336
dnn_n16__173CYC.json,528,25,0.10453128814697266,0.0028400421142578125
ghz_state_n23__24CYC.json,26,1,0.0008513927459716797,0.0009903907775878906
ising_n26__16CYC.json,14,1,0.003148794174194336,0.0008997917175292969
knn_n25__15CYC.json,169,31,0.008842706680297852,0.0015459060668945312
multiplier_n15__49CYC.json,378,92,0.05483746528625488,0.0009515285491943359
multiply_n13__7CYC.json,73,18,0.00757288932800293,0.0014483928680419922
qec9xz_n17__16CYC.json,36,15,0.007505655288696289,0.00116729736328125
qf21_n15__52CYC.json,277,41,0.011456966400146484,0.0009114742279052734
qft_n18__134CYC.json,350,134,0.09880876541137695,0.0026175975799560547
qram_n20__24CYC.json,250,84,0.021894216537475586,0.0009369850158691406
sat_n11__51CYC.json,519,76,0.030474185943603516,0.0014219284057617188
seca_n11__37CYC.json,115,21,0.014242410659790039,0.0014781951904296875
square_root_n18__203CYC.json,1966,415,0.14064979553222656,0.0013706684112548828
swap_test_n25__15CYC.json,170,31,0.010480880737304688,0.0023717880249023438
wstate_n27__55CYC.json,109,2,0.008213281631469727,0.0018908977508544922
