filename,depth,qops,swap_count,final_depth,time
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/bigadder_n18__37CYC.json,180,,36,227,0.1122
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/bv_n14__17CYC.json,19,,5,29,0.0132
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/bv_n19__22CYC.json,24,,10,47,0.0173
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/cat_state_n22__23CYC.json,24,,0,24,0.0039
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/dnn_n16__173CYC.json,245,,0,245,0.2273
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/ghz_state_n23__24CYC.json,25,,0,25,0.003
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/ising_n26__16CYC.json,10,,0,10,0.0143
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/knn_n25__15CYC.json,109,,24,152,0.0498
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/multiplier_n15__49CYC.json,256,,132,342,0.2374
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/multiply_n13__7CYC.json,41,,35,76,0.0551
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/qec9xz_n17__16CYC.json,24,,43,47,0.0713
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/qf21_n15__52CYC.json,235,,57,280,0.095
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/qft_n18__134CYC.json,137,,98,292,0.3718
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/qram_n20__24CYC.json,143,,78,227,0.1601
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/sat_n11__51CYC.json,457,,117,558,0.1813
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/seca_n11__37CYC.json,87,,34,117,0.1204
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/square_root_n18__203CYC.json,1429,,464,1987,0.6478
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/swap_test_n25__15CYC.json,110,,24,153,0.0491
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/wstate_n27__55CYC.json,108,,0,108,0.0206
