filename,depth,qops,swap_count,final_depth,time
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/queko-bss-16qbt/16QBT_100CYC_QSE_0.json,100,,42,181,0.0901
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/queko-bss-16qbt/16QBT_100CYC_QSE_1.json,100,,41,153,0.0866
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/queko-bss-16qbt/16QBT_100CYC_QSE_2.json,100,,48,188,0.0864
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/queko-bss-16qbt/16QBT_100CYC_QSE_3.json,100,,43,170,0.0911
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/queko-bss-16qbt/16QBT_100CYC_QSE_4.json,100,,41,167,0.0846
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/queko-bss-16qbt/16QBT_100CYC_QSE_5.json,100,,51,193,0.0782
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/queko-bss-16qbt/16QBT_100CYC_QSE_6.json,100,,41,183,0.0924
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/queko-bss-16qbt/16QBT_100CYC_QSE_7.json,100,,42,192,0.0905
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/queko-bss-16qbt/16QBT_100CYC_QSE_8.json,100,,52,196,0.0795
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/queko-bss-16qbt/16QBT_100CYC_QSE_9.json,100,,48,156,0.0793
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/queko-bss-16qbt/16QBT_200CYC_QSE_0.json,200,,101,316,0.1449
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/queko-bss-16qbt/16QBT_200CYC_QSE_1.json,200,,90,292,0.1156
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/queko-bss-16qbt/16QBT_200CYC_QSE_2.json,200,,111,362,0.1143
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/queko-bss-16qbt/16QBT_200CYC_QSE_3.json,200,,97,295,0.1244
