filename,depth,qops,swap_count,final_depth
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_6.json,700,26839,9563,3493
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_3.json,600,23004,8767,3131
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_0.json,400,15336,4847,1735
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_6.json,900,34506,12705,4420
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_0.json,600,23004,8153,2875
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_5.json,700,26839,10052,3744
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_2.json,300,11502,4316,1502
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_4.json,800,30672,11638,4216
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_7.json,900,34506,12205,4224
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_7.json,100,3834,1862,649
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_4.json,700,26839,10658,3932
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_3.json,200,7668,3483,1227
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_5.json,500,19170,5732,2061
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_0.json,900,34506,12683,4594
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_1.json,300,11502,5002,1785
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_5.json,900,34506,13357,4927
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_4.json,600,23004,8234,2941
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_3.json,300,11502,4971,1718
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_9.json,800,30672,11938,4329
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_0.json,500,19170,6816,2524
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_6.json,100,3834,1675,586
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_9.json,500,19170,7407,2751
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_8.json,700,26839,9998,3472
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_5.json,800,30672,10360,3675
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_7.json,700,26839,9706,3483
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_1.json,400,15336,6175,2194
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_2.json,800,30672,10896,3777
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_2.json,400,15336,6945,2514
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_1.json,900,34506,12927,4708
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_7.json,600,23004,8374,3053
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_3.json,500,19170,7476,2780
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_2.json,700,26839,10702,3694
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_4.json,100,3834,1948,722
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_8.json,400,15336,6429,2499
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_8.json,800,30672,10835,3826
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_4.json,400,15336,6177,2191
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_8.json,600,23004,8463,3141
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_0.json,300,11502,4286,1549
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_8.json,500,19170,7008,2449
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_9.json,200,7668,3496,1277
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_4.json,500,19170,7305,2637
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_1.json,500,19170,7243,2491
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_9.json,400,15336,6149,2109
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_2.json,100,3834,1642,547
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_1.json,100,3834,1952,714
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_6.json,200,7668,2921,1059
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_0.json,700,26839,9545,3420
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_2.json,200,7668,3608,1321
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_7.json,500,19170,7375,2637
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_2.json,900,34506,12385,4552
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_0.json,800,30672,10671,3840
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_3.json,400,15336,6203,2258
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_9.json,700,26839,9805,3622
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_3.json,900,34506,13125,4908
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_5.json,100,3834,1632,561
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_1.json,800,30672,12059,4353
