filename,depth,qops,swap_count,final_depth
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_6.json,700,26839,4309,3552
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_3.json,600,23004,3341,2641
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_0.json,400,15336,2469,2003
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_6.json,900,34506,5337,4346
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_0.json,600,23004,3520,2940
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_5.json,700,26839,4181,3400
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_2.json,300,11502,1883,1498
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_4.json,800,30672,4944,3608
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_7.json,900,34506,5692,4468
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_7.json,100,3834,678,510
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_4.json,700,26839,4165,3344
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_3.json,200,7668,1268,891
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_5.json,500,19170,3107,2539
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_0.json,900,34506,5581,4725
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_1.json,300,11502,1699,1296
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_5.json,900,34506,5313,4310
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_4.json,600,23004,3552,2870
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_3.json,300,11502,1817,1494
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_9.json,800,30672,5014,4275
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_0.json,500,19170,2953,2164
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_6.json,100,3834,514,428
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_9.json,500,19170,3654,2859
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_8.json,700,26839,3994,3312
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_5.json,800,30672,4618,3597
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_7.json,700,26839,4541,3758
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_1.json,400,15336,2394,1873
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_2.json,800,30672,4696,3618
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_2.json,400,15336,2535,1963
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_1.json,900,34506,5341,4413
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_7.json,600,23004,4075,3100
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_3.json,500,19170,3588,2883
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_2.json,700,26839,4622,3560
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_4.json,100,3834,557,492
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_8.json,400,15336,2776,2031
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_8.json,800,30672,4667,3869
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_4.json,400,15336,2394,1828
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_8.json,600,23004,3381,2732
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_0.json,300,11502,1876,1499
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_8.json,500,19170,2936,2481
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_9.json,200,7668,1071,890
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_4.json,500,19170,3051,2318
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_1.json,500,19170,2746,2229
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_9.json,400,15336,2427,1915
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_2.json,100,3834,522,371
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_1.json,100,3834,508,454
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_6.json,200,7668,1220,1046
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_0.json,700,26839,4034,3081
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_2.json,200,7668,1380,1044
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_7.json,500,19170,3383,2436
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_2.json,900,34506,5048,4363
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_0.json,800,30672,4498,3822
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_3.json,400,15336,2303,1905
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_9.json,700,26839,4277,3196
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_3.json,900,34506,5406,4377
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_5.json,100,3834,641,451
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_1.json,800,30672,4790,3854
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_6.json,600,23004,3485,2696
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_1.json,600,23004,3650,2884
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_4.json,900,34506,5586,4087
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_3.json,700,26839,4140,3397
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_4.json,300,11502,1604,1292
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_7.json,400,15336,2456,1966
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_0.json,100,3834,544,474
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_3.json,800,30672,4760,3751
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_9.json,300,11502,2070,1671
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_8.json,100,3834,615,488
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_8.json,200,7668,977,751
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_9.json,100,3834,521,407
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_5.json,300,11502,1761,1294
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_6.json,300,11502,1558,1346
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_0.json,200,7668,1073,836
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_1.json,700,26839,4293,3307
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_5.json,400,15336,2266,1848
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_8.json,900,34506,5780,4627
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_6.json,800,30672,4689,3818
