filename,depth,qops,swap_count,final_depth,runtime,init_time
benchmarks/qasmbench-large/adder_n28__42CYC.json,233,,43,249,0.3787,0.8135
benchmarks/qasmbench-large/adder_n64__78CYC.json,461,,113,492,2.0124,0.8569
benchmarks/qasmbench-large/bv_n30__22CYC.json,24,,6,46,0.0296,0.0227
benchmarks/qasmbench-large/bv_n70__40CYC.json,42,,14,86,0.0941,0.0429
benchmarks/qasmbench-large/cat_n35__36CYC.json,37,,0,37,0.0086,0.0024
benchmarks/qasmbench-large/cat_n65__66CYC.json,67,,0,67,0.0141,0.0034
benchmarks/qasmbench-large/dnn_n51__58CYC.json,293,,102,359,1.0679,0.1129
benchmarks/qasmbench-large/ghz_n40__41CYC.json,42,,0,42,0.0094,0.0025
benchmarks/qasmbench-large/ghz_n78__79CYC.json,80,,0,80,0.0178,0.0039
benchmarks/qasmbench-large/ising_n34__16CYC.json,10,,0,10,0.0432,0.0028
benchmarks/qasmbench-large/ising_n66__16CYC.json,10,,0,10,0.0796,0.0039
benchmarks/qasmbench-large/knn_n31__18CYC.json,133,,31,184,0.1306,0.0936
benchmarks/qasmbench-large/knn_n67__36CYC.json,277,,66,390,0.3416,0.0973
benchmarks/qasmbench-large/multiplier_n45__462CYC.json,2440,,1171,3249,7.9787,0.7551
benchmarks/qasmbench-large/multiplier_n75__1308CYC.json,6928,,3766,9153,20.7233,0.6197
benchmarks/qasmbench-large/qft_n29__222CYC.json,225,,268,416,1.1502,0.0642
benchmarks/qasmbench-large/qft_n63__494CYC.json,497,,1333,1501,7.9881,0.0875
benchmarks/qasmbench-large/qugan_n39__40CYC.json,260,,88,422,0.3276,0.0511
benchmarks/qasmbench-large/qugan_n71__72CYC.json,468,,153,637,1.1774,0.051
benchmarks/qasmbench-large/swap_test_n41__23CYC.json,174,,39,249,0.0756,0.0419
benchmarks/qasmbench-large/wstate_n36__73CYC.json,144,,0,144,0.0237,0.0013
benchmarks/qasmbench-large/wstate_n76__153CYC.json,304,,0,304,0.0502,0.0018
