filename,depth,qops,swap_count,final_depth,runtime,init_time
benchmarks/qasmbench-large/adder_n28__42CYC.json,233,,49,259,0.182,0.0689
benchmarks/qasmbench-large/adder_n64__78CYC.json,461,,146,541,1.7524,0.1336
benchmarks/qasmbench-large/bv_n30__22CYC.json,24,,11,50,0.0231,0.0292
benchmarks/qasmbench-large/bv_n70__40CYC.json,42,,24,96,0.0564,0.0559
benchmarks/qasmbench-large/cat_n35__36CYC.json,37,,21,56,0.0107,0.0245
benchmarks/qasmbench-large/cat_n65__66CYC.json,67,,35,96,0.0205,0.0322
benchmarks/qasmbench-large/dnn_n51__58CYC.json,293,,98,414,0.9967,0.1224
benchmarks/qasmbench-large/ghz_n40__41CYC.json,42,,29,63,0.0135,0.0262
benchmarks/qasmbench-large/ghz_n78__79CYC.json,80,,57,137,0.0266,0.0306
benchmarks/qasmbench-large/ising_n34__16CYC.json,10,,12,16,0.039,0.0392
benchmarks/qasmbench-large/ising_n66__16CYC.json,10,,36,24,0.3859,0.0557
benchmarks/qasmbench-large/knn_n31__18CYC.json,133,,29,195,0.0569,0.0478
benchmarks/qasmbench-large/knn_n67__36CYC.json,277,,85,420,0.2824,0.094
benchmarks/qasmbench-large/multiplier_n45__462CYC.json,2440,,1203,3289,5.5809,0.6704
benchmarks/qasmbench-large/multiplier_n75__1308CYC.json,6928,,3856,9372,25.054,1.8629
benchmarks/qasmbench-large/qft_n29__222CYC.json,225,,263,473,1.3202,0.2377
benchmarks/qasmbench-large/qft_n63__494CYC.json,497,,1532,1587,11.5504,0.8654
benchmarks/qasmbench-large/qugan_n39__40CYC.json,260,,82,391,0.4475,0.1226
benchmarks/qasmbench-large/qugan_n71__72CYC.json,468,,192,716,1.2764,0.1978
benchmarks/qasmbench-large/swap_test_n41__23CYC.json,174,,46,250,0.1029,0.0774
benchmarks/qasmbench-large/wstate_n36__73CYC.json,144,,14,151,0.0481,0.0479
benchmarks/qasmbench-large/wstate_n76__153CYC.json,304,,68,330,0.1514,0.0867
