filename,depth,qops,swap_count,final_depth,runtime,init_time
benchmarks/qasmbench-medium/bigadder_n18__37CYC.json,180,,36,227,0.1247,0.0733
benchmarks/qasmbench-medium/bv_n14__17CYC.json,19,,5,29,0.0204,0.0364
benchmarks/qasmbench-medium/bv_n19__22CYC.json,24,,10,47,0.0209,0.0357
benchmarks/qasmbench-medium/cat_state_n22__23CYC.json,24,,0,24,0.0036,0.0073
benchmarks/qasmbench-medium/dnn_n16__173CYC.json,245,,0,245,0.3216,0.0065
benchmarks/qasmbench-medium/ghz_state_n23__24CYC.json,25,,0,25,0.0035,0.0052
benchmarks/qasmbench-medium/ising_n26__16CYC.json,10,,0,10,0.0178,0.0054
benchmarks/qasmbench-medium/knn_n25__15CYC.json,109,,24,152,0.0642,0.0649
benchmarks/qasmbench-medium/multiplier_n15__49CYC.json,256,,132,342,0.2827,0.0375
benchmarks/qasmbench-medium/multiply_n13__7CYC.json,41,,35,76,0.0557,0.0139
benchmarks/qasmbench-medium/qec9xz_n17__16CYC.json,24,,43,47,0.0752,0.0127
benchmarks/qasmbench-medium/qf21_n15__52CYC.json,235,,57,280,0.0993,0.0163
benchmarks/qasmbench-medium/qft_n18__134CYC.json,137,,98,292,0.3127,0.111
benchmarks/qasmbench-medium/qram_n20__24CYC.json,143,,78,227,0.1667,0.0137
benchmarks/qasmbench-medium/sat_n11__51CYC.json,457,,117,558,0.2069,0.0418
benchmarks/qasmbench-medium/seca_n11__37CYC.json,87,,34,117,0.1179,0.0122
benchmarks/qasmbench-medium/square_root_n18__203CYC.json,1429,,464,1987,0.8714,0.0216
benchmarks/qasmbench-medium/swap_test_n25__15CYC.json,110,,24,153,0.0828,0.0626
benchmarks/qasmbench-medium/wstate_n27__55CYC.json,108,,0,108,0.0246,0.0067
