filename,depth,qops,swap_count,final_depth,runtime,init_time
benchmarks/qasmbench-medium/bigadder_n18__37CYC.json,180,,31,225,0.1213,0.3052
benchmarks/qasmbench-medium/bv_n14__17CYC.json,19,,4,34,0.013,0.0157
benchmarks/qasmbench-medium/bv_n19__22CYC.json,24,,6,46,0.0232,0.0175
benchmarks/qasmbench-medium/cat_state_n22__23CYC.json,24,,0,24,0.0034,0.0012
benchmarks/qasmbench-medium/dnn_n16__173CYC.json,245,,0,245,0.3496,0.0039
benchmarks/qasmbench-medium/ghz_state_n23__24CYC.json,25,,0,25,0.0035,0.0012
benchmarks/qasmbench-medium/ising_n26__16CYC.json,10,,0,10,0.0183,0.0014
benchmarks/qasmbench-medium/knn_n25__15CYC.json,109,,22,148,0.0642,0.0589
benchmarks/qasmbench-medium/multiplier_n15__49CYC.json,256,,72,322,0.2,0.5304
benchmarks/qasmbench-medium/multiply_n13__7CYC.json,41,,13,54,0.027,0.2487
benchmarks/qasmbench-medium/qec9xz_n17__16CYC.json,24,,14,43,0.0237,0.454
benchmarks/qasmbench-medium/qf21_n15__52CYC.json,235,,34,266,0.0677,0.0582
benchmarks/qasmbench-medium/qft_n18__134CYC.json,137,,91,239,0.3491,0.0589
benchmarks/qasmbench-medium/qram_n20__24CYC.json,143,,51,192,0.0975,0.5506
benchmarks/qasmbench-medium/sat_n11__51CYC.json,457,,83,543,0.1646,0.2004
benchmarks/qasmbench-medium/seca_n11__37CYC.json,87,,17,113,0.067,0.1799
benchmarks/qasmbench-medium/square_root_n18__203CYC.json,1429,,394,1951,0.7725,0.561
benchmarks/qasmbench-medium/swap_test_n25__15CYC.json,110,,22,149,0.0629,0.0507
benchmarks/qasmbench-medium/wstate_n27__55CYC.json,108,,0,108,0.0308,0.0014
