filename,depth,qops,swap_count,final_depth,runtime,init_time
benchmarks/qasmbench-medium/bigadder_n18__37CYC.json,180,,36,227,0.1084,0.0791
benchmarks/qasmbench-medium/bv_n14__17CYC.json,19,,5,29,0.0135,0.0258
benchmarks/qasmbench-medium/bv_n19__22CYC.json,24,,10,47,0.0185,0.0358
benchmarks/qasmbench-medium/cat_state_n22__23CYC.json,24,,9,33,0.0066,0.0224
benchmarks/qasmbench-medium/dnn_n16__173CYC.json,245,,0,245,0.278,0.1509
benchmarks/qasmbench-medium/ghz_state_n23__24CYC.json,25,,11,35,0.0068,0.0231
benchmarks/qasmbench-medium/ising_n26__16CYC.json,10,,4,15,0.028,0.0374
benchmarks/qasmbench-medium/knn_n25__15CYC.json,109,,24,152,0.058,0.0437
benchmarks/qasmbench-medium/multiplier_n15__49CYC.json,256,,84,319,0.1795,0.2817
benchmarks/qasmbench-medium/multiply_n13__7CYC.json,41,,12,69,0.0218,0.0276
benchmarks/qasmbench-medium/qec9xz_n17__16CYC.json,24,,17,43,0.0247,0.0267
benchmarks/qasmbench-medium/qf21_n15__52CYC.json,235,,41,271,0.0596,0.0465
benchmarks/qasmbench-medium/qft_n18__134CYC.json,137,,98,292,0.3189,0.0862
benchmarks/qasmbench-medium/qram_n20__24CYC.json,143,,65,214,0.1041,0.057
benchmarks/qasmbench-medium/sat_n11__51CYC.json,457,,91,539,0.1858,0.1194
benchmarks/qasmbench-medium/seca_n11__37CYC.json,87,,18,103,0.0433,0.0385
benchmarks/qasmbench-medium/square_root_n18__203CYC.json,1429,,441,1947,0.7642,0.4496
benchmarks/qasmbench-medium/swap_test_n25__15CYC.json,110,,24,153,0.0572,0.0447
benchmarks/qasmbench-medium/wstate_n27__55CYC.json,108,,4,111,0.0226,0.0308
