filename,depth,qops,swap_count,final_depth,runtime,init_time
benchmarks/qasmbench-medium/bigadder_n18__37CYC.json,180,,43,207,0.0951,0.0228
benchmarks/qasmbench-medium/bv_n14__17CYC.json,19,,4,34,0.0132,0.0158
benchmarks/qasmbench-medium/bv_n19__22CYC.json,24,,6,46,0.017,0.0167
benchmarks/qasmbench-medium/cat_state_n22__23CYC.json,24,,0,24,0.0034,0.0011
benchmarks/qasmbench-medium/dnn_n16__173CYC.json,245,,0,245,0.3072,0.0022
benchmarks/qasmbench-medium/ghz_state_n23__24CYC.json,25,,0,25,0.0047,0.0011
benchmarks/qasmbench-medium/ising_n26__16CYC.json,10,,0,10,0.0181,0.0013
benchmarks/qasmbench-medium/knn_n25__15CYC.json,109,,30,163,0.0745,0.0218
benchmarks/qasmbench-medium/multiplier_n15__49CYC.json,256,,79,329,0.1766,0.019
benchmarks/qasmbench-medium/multiply_n13__7CYC.json,41,,17,51,0.0272,0.0157
benchmarks/qasmbench-medium/qec9xz_n17__16CYC.json,24,,19,50,0.0426,0.0184
benchmarks/qasmbench-medium/qf21_n15__52CYC.json,235,,39,269,0.0635,0.0199
benchmarks/qasmbench-medium/qft_n18__134CYC.json,137,,122,303,0.3907,0.0328
benchmarks/qasmbench-medium/qram_n20__24CYC.json,143,,72,197,0.1109,0.0214
benchmarks/qasmbench-medium/sat_n11__51CYC.json,457,,95,532,0.1517,0.0179
benchmarks/qasmbench-medium/seca_n11__37CYC.json,87,,26,115,0.065,0.0169
benchmarks/qasmbench-medium/square_root_n18__203CYC.json,1429,,430,1971,0.8003,0.0301
benchmarks/qasmbench-medium/swap_test_n25__15CYC.json,110,,33,158,0.0736,0.0272
benchmarks/qasmbench-medium/wstate_n27__55CYC.json,108,,0,108,0.024,0.0012
