filename,final_depth,swap_count,runtime,init_time
adder_n28__42CYC.json,280,76,0.02075815200805664,0.003698587417602539
adder_n64__78CYC.json,543,187,0.15867090225219727,0.013148307800292969
bv_n30__22CYC.json,44,39,0.005557537078857422,0.0011780261993408203
bv_n70__40CYC.json,105,91,0.01167607307434082,0.0061092376708984375
cat_n35__36CYC.json,46,9,0.0012199878692626953,0.0021419525146484375
cat_n65__66CYC.json,84,17,0.0021240711212158203,0.004462242126464844
dnn_n51__58CYC.json,472,202,0.18717002868652344,0.011984825134277344
ghz_n40__41CYC.json,51,9,0.001241445541381836,0.002081155776977539
ghz_n78__79CYC.json,100,20,0.002227783203125,0.004306316375732422
ising_n34__16CYC.json,15,4,0.004180192947387695,0.001554250717163086
ising_n66__16CYC.json,15,9,0.009287834167480469,0.003733396530151367
knn_n31__18CYC.json,236,79,0.012039899826049805,0.0020189285278320312
knn_n67__36CYC.json,487,230,0.06913447380065918,0.007251262664794922
multiplier_n45__462CYC.json,3515,1623,0.6233489513397217,0.015288114547729492
multiplier_n75__1308CYC.json,9573,4930,3.435553550720215,0.05844902992248535
qft_n29__222CYC.json,673,608,0.30014514923095703,0.02526235580444336
qft_n63__494CYC.json,2255,2885,2.367058038711548,0.17285919189453125
qugan_n39__40CYC.json,363,125,0.12424778938293457,0.005615234375
qugan_n71__72CYC.json,630,263,0.1561746597290039,0.013464689254760742
swap_test_n41__23CYC.json,323,116,0.028118610382080078,0.004143476486206055
wstate_n36__73CYC.json,153,14,0.004706382751464844,0.001725912094116211
wstate_n76__153CYC.json,323,40,0.014811038970947266,0.005963563919067383
