filename,depth,qops,swap_count,final_depth,runtime,init_time
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/adder_n28__42CYC.json,233,,134,324,0.099,0.3672
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/adder_n64__78CYC.json,461,,504,679,0.9265,0.7451
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/bv_n30__22CYC.json,24,,36,57,0.0165,0.1377
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/bv_n70__40CYC.json,42,,138,142,0.0457,0.3093
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/cat_n35__36CYC.json,37,,10,46,0.0047,0.2684
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/cat_n65__66CYC.json,67,,36,99,0.0099,0.1681
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/dnn_n51__58CYC.json,293,,172,451,1.2004,0.8931
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/ghz_n40__41CYC.json,42,,10,51,0.0058,0.126
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/ghz_n78__79CYC.json,80,,76,142,0.0169,0.2822
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/ising_n34__16CYC.json,10,,12,21,0.042,0.3833
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/ising_n66__16CYC.json,10,,42,31,0.0649,0.6641
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/knn_n31__18CYC.json,133,,41,218,0.0341,0.2654
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/knn_n67__36CYC.json,277,,152,499,0.1698,0.5562
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/multiplier_n45__462CYC.json,2440,,1921,3664,2.3621,3.5721
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/multiplier_n75__1308CYC.json,6928,,6129,11098,18.7518,20.1213
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/qft_n29__222CYC.json,225,,797,761,1.5475,4.7986
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/qft_n63__494CYC.json,497,,3029,2174,7.7798,30.7131
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/qugan_n39__40CYC.json,260,,189,537,0.641,0.5313
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/qugan_n71__72CYC.json,468,,543,859,4.6562,1.4135
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/swap_test_n41__23CYC.json,174,,65,291,0.0563,0.3306
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/wstate_n36__73CYC.json,144,,19,153,0.0272,0.173
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/wstate_n76__153CYC.json,304,,173,415,0.0859,0.3959
