filename,final_depth,swap_count,runtime
adder_n28__42CYC.json,275,57,0.0579478740692138
adder_n64__78CYC.json,540,167,0.3068897724151611
bv_n30__22CYC.json,40,41,0.0128462314605712
bv_n70__40CYC.json,97,109,0.0154907703399658
cat_n35__36CYC.json,40,10,0.0016429424285888
cat_n65__66CYC.json,81,16,0.0035018920898437
dnn_n51__58CYC.json,420,210,0.3792393207550049
ghz_n40__41CYC.json,48,9,0.0018677711486816
ghz_n78__79CYC.json,99,26,0.0046565532684326
ising_n34__16CYC.json,14,1,0.0185468196868896
ising_n66__16CYC.json,28,18,0.0434434413909912
knn_n31__18CYC.json,240,63,0.0177836418151855
knn_n67__36CYC.json,516,244,0.1459314823150634
multiplier_n45__462CYC.json,3602,1837,0.7249276638031006
multiplier_n75__1308CYC.json,9813,5031,3.273151159286499
qft_n29__222CYC.json,423,400,0.2043220996856689
qft_n63__494CYC.json,1548,2414,2.2394371032714844
qugan_n39__40CYC.json,391,187,0.1180298328399658
qugan_n71__72CYC.json,764,454,0.9572560787200928
swap_test_n41__23CYC.json,304,106,0.0237519741058349
wstate_n36__73CYC.json,145,1,0.0038788318634033
wstate_n76__153CYC.json,321,38,0.0127558708190917
