filename,final_depth,swap_count,runtime,init_time
adder_n28__42CYC.json,274,68,0.03163313865661621,0.03574180603027344
adder_n64__78CYC.json,534,172,0.2697336673736572,0.12082219123840332
bv_n30__22CYC.json,41,31,0.006720781326293945,0.021906614303588867
bv_n70__40CYC.json,101,107,0.01260232925415039,0.01609492301940918
cat_n35__36CYC.json,38,1,0.0012073516845703125,0.05732131004333496
cat_n65__66CYC.json,81,16,0.0036711692810058594,0.033763885498046875
dnn_n51__58CYC.json,494,195,0.2541005611419678,0.2037043571472168
ghz_n40__41CYC.json,47,5,0.0011889934539794922,0.08164834976196289
ghz_n78__79CYC.json,98,18,0.002703428268432617,0.042083024978637695
ising_n34__16CYC.json,14,1,0.004695415496826172,0.054628610610961914
ising_n66__16CYC.json,20,17,0.009153366088867188,0.03991293907165527
knn_n31__18CYC.json,240,63,0.011617183685302734,0.04132080078125
knn_n67__36CYC.json,533,236,0.04993629455566406,0.08040475845336914
multiplier_n45__462CYC.json,3457,1512,0.7508976459503174,0.10678577423095703
multiplier_n75__1308CYC.json,9711,5108,3.55682110786438,1.305534839630127
qft_n29__222CYC.json,733,643,0.3049180507659912,0.4068725109100342
qft_n63__494CYC.json,1960,2711,2.8632194995880127,2.276245594024658
qugan_n39__40CYC.json,340,101,0.12172865867614746,0.2523980140686035
qugan_n71__72CYC.json,703,330,0.815326452255249,0.18735146522521973
swap_test_n41__23CYC.json,304,106,0.027276039123535156,0.010363578796386719
wstate_n36__73CYC.json,145,1,0.00490260124206543,0.0741126537322998
wstate_n76__153CYC.json,321,38,0.021136760711669922,0.05006217956542969
