filename,final_depth,swap_count,runtime,init_time
adder_n28__42CYC.json,277,64,0.030547618865966797,0.014728307723999023
adder_n64__78CYC.json,534,159,0.22857904434204102,0.026134252548217773
bv_n30__22CYC.json,47,32,0.005838632583618164,0.010063648223876953
bv_n70__40CYC.json,105,104,0.012437820434570312,0.019063711166381836
cat_n35__36CYC.json,39,2,0.0012645721435546875,0.009794473648071289
cat_n65__66CYC.json,74,7,0.0020716190338134766,0.014992237091064453
dnn_n51__58CYC.json,422,147,0.14672422409057617,0.016823530197143555
ghz_n40__41CYC.json,45,3,0.0009274482727050781,0.0059108734130859375
ghz_n78__79CYC.json,91,11,0.0022623538970947266,0.013085603713989258
ising_n34__16CYC.json,15,3,0.004080057144165039,0.007074594497680664
ising_n66__16CYC.json,20,15,0.00847315788269043,0.009915590286254883
knn_n31__18CYC.json,235,62,0.013864278793334961,0.0053708553314208984
knn_n67__36CYC.json,518,218,0.03906512260437012,0.012256145477294922
multiplier_n45__462CYC.json,3626,1905,1.289212942123413,0.04100394248962402
multiplier_n75__1308CYC.json,9679,4849,3.8170230388641357,0.11403584480285645
qft_n29__222CYC.json,722,624,0.2866699695587158,0.03443741798400879
qft_n63__494CYC.json,1936,2636,2.8298864364624023,0.2324354648590088
qugan_n39__40CYC.json,393,185,0.14294910430908203,0.011068105697631836
qugan_n71__72CYC.json,727,333,0.31239771842956543,0.0350193977355957
swap_test_n41__23CYC.json,309,98,0.022527217864990234,0.007962942123413086
wstate_n36__73CYC.json,147,3,0.004755258560180664,0.006594419479370117
wstate_n76__153CYC.json,315,14,0.010333061218261719,0.014754295349121094
