filename,final_depth,swap_count,runtime,init_time
adder_n28__42CYC.json,277,68,0.037787437438964844,0.6338603496551514
adder_n64__78CYC.json,524,167,0.1854391098022461,1.6629436016082764
bv_n30__22CYC.json,45,33,0.0050487518310546875,0.24932336807250977
bv_n70__40CYC.json,102,101,0.012136697769165039,1.116389274597168
cat_n35__36CYC.json,37,0,0.0007748603820800781,0.6077876091003418
cat_n65__66CYC.json,67,0,0.0014748573303222656,1.3752896785736084
dnn_n51__58CYC.json,428,157,0.08182811737060547,1.4480137825012207
ghz_n40__41CYC.json,44,2,0.001348733901977539,0.585423469543457
ghz_n78__79CYC.json,86,7,0.0020399093627929688,1.600207805633545
ising_n34__16CYC.json,10,0,0.003597736358642578,0.4636366367340088
ising_n66__16CYC.json,15,2,0.006966590881347656,1.1568553447723389
knn_n31__18CYC.json,231,57,0.011148214340209961,0.5256268978118896
knn_n67__36CYC.json,505,200,0.04682493209838867,1.4919440746307373
multiplier_n45__462CYC.json,3633,1675,0.5681555271148682,3.197895050048828
multiplier_n75__1308CYC.json,9890,4947,2.9453015327453613,6.315610885620117
qft_n29__222CYC.json,782,637,0.29060840606689453,7.274203300476074
qft_n63__494CYC.json,2132,2911,3.032041072845459,57.35586190223694
qugan_n39__40CYC.json,369,169,0.17455434799194336,1.6182074546813965
qugan_n71__72CYC.json,665,324,0.4944765567779541,3.7017011642456055
swap_test_n41__23CYC.json,293,104,0.02909088134765625,0.6711726188659668
wstate_n36__73CYC.json,144,0,0.005115032196044922,0.7097275257110596
wstate_n76__153CYC.json,307,3,0.010663986206054688,2.0616493225097656
