filename,depth,qops,swap_count,final_depth,runtime,init_time
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/adder_n28__42CYC.json,233,,104,297,0.27,0.029
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/adder_n64__78CYC.json,461,,138,520,0.8332,0.0513
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/bv_n30__22CYC.json,24,,16,55,0.0274,0.0624
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/bv_n70__40CYC.json,42,,42,128,0.0755,0.0758
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/cat_n35__36CYC.json,37,,0,37,0.0053,0.0198
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/cat_n65__66CYC.json,67,,0,67,0.0076,0.0134
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/dnn_n51__58CYC.json,293,,154,442,0.3513,0.1418
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/ghz_n40__41CYC.json,42,,0,42,0.0047,0.0096
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/ghz_n78__79CYC.json,80,,0,80,0.0107,0.0234
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/ising_n34__16CYC.json,10,,0,10,0.0219,0.0108
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/ising_n66__16CYC.json,10,,0,10,0.0383,0.0153
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/knn_n31__18CYC.json,133,,34,207,0.0686,0.25
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/knn_n67__36CYC.json,277,,141,463,0.3633,0.1139
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/multiplier_n45__462CYC.json,2440,,1772,3500,2.9733,0.0256
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/multiplier_n75__1308CYC.json,6928,,5248,10057,13.6965,0.0362
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/qft_n29__222CYC.json,225,,427,498,0.8078,0.1667
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/qft_n63__494CYC.json,497,,2259,1556,7.1493,0.6654
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/qugan_n39__40CYC.json,260,,106,347,0.1694,0.0788
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/qugan_n71__72CYC.json,468,,266,803,0.4417,0.1354
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/swap_test_n41__23CYC.json,174,,57,286,0.0776,0.0596
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/wstate_n36__73CYC.json,144,,0,144,0.0171,0.0069
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/wstate_n76__153CYC.json,304,,0,304,0.036,0.0102
