filename,depth,qops,swap_count,final_depth,runtime,init_time
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/bigadder_n18__37CYC.json,180,,83,271,0.0461,0.2221
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/bv_n14__17CYC.json,19,,19,34,0.0092,0.0941
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/bv_n19__22CYC.json,24,,29,53,0.0129,0.1076
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/cat_state_n22__23CYC.json,24,,0,24,0.0021,0.0677
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/dnn_n16__173CYC.json,245,,50,461,0.2009,1.1177
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/ghz_state_n23__24CYC.json,25,,0,25,0.0021,0.0685
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/ising_n26__16CYC.json,10,,3,15,0.0109,0.1136
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/knn_n25__15CYC.json,109,,32,176,0.0278,0.1718
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/multiplier_n15__49CYC.json,256,,187,406,0.1075,0.3111
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/multiply_n13__7CYC.json,41,,31,70,0.0173,0.1055
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/qec9xz_n17__16CYC.json,24,,98,81,0.0403,0.1247
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/qf21_n15__52CYC.json,235,,91,331,0.0391,0.1957
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/qft_n18__134CYC.json,137,,247,353,0.2308,0.5124
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/qram_n20__24CYC.json,143,,136,253,0.0686,0.2481
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/sat_n11__51CYC.json,457,,122,583,0.0769,0.352
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/seca_n11__37CYC.json,87,,30,158,0.0317,0.1456
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/square_root_n18__203CYC.json,1429,,713,2247,0.5199,1.8047
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/swap_test_n25__15CYC.json,110,,32,177,0.0458,0.2636
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/wstate_n27__55CYC.json,108,,0,108,0.0202,0.198
