filename,final_depth,swap_count,runtime,init_time
bigadder_n18__37CYC.json,254,59,0.0318491458892822,0.0180518627166748
bv_n14__17CYC.json,39,38,0.0035619735717773,0.0030913352966308
bv_n19__22CYC.json,51,51,0.0055174827575683,0.0074326992034912
cat_state_n22__23CYC.json,34,20,0.0008008480072021,0.0203874111175537
dnn_n16__173CYC.json,421,74,0.0917651653289794,0.0052073001861572
ghz_state_n23__24CYC.json,35,20,0.0008521080017089,0.017441987991333
ising_n26__16CYC.json,20,20,0.0047645568847656,0.0412361621856689
knn_n25__15CYC.json,192,58,0.0119774341583251,0.0280532836914062
multiplier_n15__49CYC.json,348,135,0.0754110813140869,0.0223598480224609
multiply_n13__7CYC.json,86,51,0.0075783729553222,0.0055954456329345
qec9xz_n17__16CYC.json,62,49,0.0078265666961669,0.0171980857849121
qf21_n15__52CYC.json,302,94,0.0169885158538818,0.0205044746398925
qft_n18__134CYC.json,397,270,0.1068668365478515,0.0675113201141357
qram_n20__24CYC.json,254,125,0.0225899219512939,0.0854427814483642
sat_n11__51CYC.json,593,136,0.0461242198944091,0.008047342300415
seca_n11__37CYC.json,139,47,0.0105421543121337,0.0032641887664794
square_root_n18__203CYC.json,2149,636,0.2613608837127685,0.0157275199890136
swap_test_n25__15CYC.json,193,58,0.0273530483245849,0.0370039939880371
wstate_n27__55CYC.json,119,21,0.0042037963867187,0.0273137092590332
