filename,final_depth,swap_count,runtime,init_time
bigadder_n18__37CYC.json,264,81,0.035254955291748,0.2823383808135986
bv_n14__17CYC.json,47,42,0.0034830570220947,0.0837266445159912
bv_n19__22CYC.json,55,59,0.0067706108093261,0.1535489559173584
cat_state_n22__23CYC.json,34,28,0.0022118091583251,0.2945735454559326
dnn_n16__173CYC.json,457,43,0.1242029666900634,0.1420624256134033
ghz_state_n23__24CYC.json,35,28,0.0032768249511718,0.380671739578247
ising_n26__16CYC.json,20,28,0.0048720836639404,0.4179630279541015
knn_n25__15CYC.json,199,72,0.010392427444458,0.4424302577972412
multiplier_n15__49CYC.json,348,143,0.0467393398284912,0.1962981224060058
multiply_n13__7CYC.json,90,58,0.0064220428466796,0.142099380493164
qec9xz_n17__16CYC.json,51,56,0.006265640258789,0.2983133792877197
qf21_n15__52CYC.json,299,91,0.0335762500762939,0.3745098114013672
qft_n18__134CYC.json,368,260,0.1159844398498535,1.250983715057373
qram_n20__24CYC.json,254,121,0.0200729370117187,0.503716230392456
sat_n11__51CYC.json,589,136,0.0334148406982421,0.1292083263397216
seca_n11__37CYC.json,121,53,0.0109205245971679,0.0823516845703125
square_root_n18__203CYC.json,2162,616,0.2007577419281005,0.3174707889556885
swap_test_n25__15CYC.json,200,72,0.0105741024017333,0.4663825035095215
wstate_n27__55CYC.json,118,28,0.0067529678344726,0.5271885395050049
