filename,depth,qops,swap_count,final_depth,runtime,init_time
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/bigadder_n18__37CYC.json,180,,49,245,0.0569,2.5929
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/bv_n14__17CYC.json,19,,71,65,0.0182,1.2622
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/bv_n19__22CYC.json,24,,84,86,0.0205,2.436
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/cat_state_n22__23CYC.json,24,,0,24,0.002,0.1808
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/dnn_n16__173CYC.json,245,,45,453,0.2726,2.6466
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/ghz_state_n23__24CYC.json,25,,0,25,0.0024,0.2478
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/ising_n26__16CYC.json,10,,0,10,0.0115,0.1936
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/knn_n25__15CYC.json,109,,208,202,0.2466,3.7702
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/multiplier_n15__49CYC.json,256,,186,348,0.159,1.3778
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/multiply_n13__7CYC.json,41,,71,64,0.0439,1.7871
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/qec9xz_n17__16CYC.json,24,,59,46,0.0337,2.132
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/qf21_n15__52CYC.json,235,,116,331,0.0519,1.5102
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/qft_n18__134CYC.json,137,,300,395,0.27,2.3356
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/qram_n20__24CYC.json,143,,334,295,0.1436,1.6879
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/sat_n11__51CYC.json,457,,121,581,0.1007,2.1176
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/seca_n11__37CYC.json,87,,25,111,0.059,1.7534
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/square_root_n18__203CYC.json,1429,,778,2265,0.6618,4.7022
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/swap_test_n25__15CYC.json,110,,208,203,0.2335,4.2079
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/wstate_n27__55CYC.json,108,,0,108,0.0225,0.3209
