filename,final_depth,swap_count,runtime,init_time
bigadder_n18__37CYC.json,248,73,0.0210278034210205,0.5037245750427246
bv_n14__17CYC.json,46,46,0.0034849643707275,0.284341812133789
bv_n19__22CYC.json,61,59,0.0046114921569824,0.4247934818267822
cat_state_n22__23CYC.json,34,28,0.0011868476867675,0.534149169921875
dnn_n16__173CYC.json,453,41,0.0967767238616943,0.3855993747711181
ghz_state_n23__24CYC.json,35,28,0.0007803440093994,0.6558418273925781
ising_n26__16CYC.json,20,28,0.0079505443572998,0.971221923828125
knn_n25__15CYC.json,195,68,0.0104165077209472,0.9686436653137208
multiplier_n15__49CYC.json,356,142,0.0383529663085937,0.5388998985290527
multiply_n13__7CYC.json,85,59,0.0076243877410888,0.3290531635284424
qec9xz_n17__16CYC.json,61,56,0.0060365200042724,0.5854349136352539
qf21_n15__52CYC.json,303,93,0.0167632102966308,0.6549880504608154
qft_n18__134CYC.json,362,245,0.1076369285583496,1.957448959350586
qram_n20__24CYC.json,247,126,0.0233204364776611,0.716977596282959
sat_n11__51CYC.json,587,149,0.028022289276123,0.3385000228881836
seca_n11__37CYC.json,119,55,0.010613203048706,0.2935757637023926
square_root_n18__203CYC.json,2143,552,0.2297005653381347,0.6249082088470459
swap_test_n25__15CYC.json,195,73,0.0118210315704345,0.7433969974517822
wstate_n27__55CYC.json,118,28,0.0049176216125488,0.805565357208252
