filename,final_depth,swap_count,runtime
adder_n28__42CYC.json,278,68,0.0409421920776367
adder_n64__78CYC.json,589,244,0.3454952239990234
bv_n30__22CYC.json,53,32,0.0060789585113525
bv_n70__40CYC.json,127,95,0.0183062553405761
cat_n35__36CYC.json,43,6,0.001509666442871
cat_n65__66CYC.json,102,36,0.00337815284729
dnn_n51__58CYC.json,465,183,0.2906670570373535
ghz_n40__41CYC.json,47,5,0.0016431808471679
ghz_n78__79CYC.json,113,42,0.0047461986541748
ising_n34__16CYC.json,15,3,0.0155069828033447
ising_n66__16CYC.json,16,10,0.0361661911010742
knn_n31__18CYC.json,228,50,0.0281248092651367
knn_n67__36CYC.json,490,170,0.0697076320648193
multiplier_n45__462CYC.json,3692,1857,0.5053708553314209
multiplier_n75__1308CYC.json,10938,5892,3.75893759727478
qft_n29__222CYC.json,659,582,0.286426305770874
qft_n63__494CYC.json,2345,3041,2.600142002105713
qugan_n39__40CYC.json,333,102,0.0999801158905029
qugan_n71__72CYC.json,590,416,0.3534996509552002
swap_test_n41__23CYC.json,305,72,0.0118305683135986
wstate_n36__73CYC.json,150,8,0.004840612411499
wstate_n76__153CYC.json,345,78,0.0133283138275146
