filename,final_depth,swap_count,runtime
adder_n28__42CYC.json,274,68,25.372645378112793
qft_n29__222CYC.json,800,606,26.596927881240845
knn_n31__18CYC.json,241,63,25.237792253494263
qugan_n71__72CYC.json,614,463,28.737027645111084
swap_test_n41__23CYC.json,301,105,25.43395471572876
multiplier_n75__1308CYC.json,9884,4946,41.57137680053711
wstate_n36__73CYC.json,144,0,25.235612630844116
cat_n35__36CYC.json,37,0,25.20541286468506
bv_n30__22CYC.json,47,29,22.602853298187256
qugan_n39__40CYC.json,369,152,25.746732473373413
multiplier_n45__462CYC.json,3371,1570,29.404338359832764
qft_n63__494CYC.json,2140,2920,35.82239890098572
ghz_n40__41CYC.json,42,0,25.2633695602417
knn_n67__36CYC.json,508,233,26.059840440750122
ising_n34__16CYC.json,10,0,25.22920036315918
ghz_n78__79CYC.json,82,2,25.987510442733765
cat_n65__66CYC.json,68,1,25.67206048965454
ising_n66__16CYC.json,15,1,25.729175806045532
adder_n64__78CYC.json,518,158,26.49897336959839
bv_n70__40CYC.json,87,99,25.409157037734985
dnn_n51__58CYC.json,442,162,25.85088801383972
wstate_n76__153CYC.json,308,4,25.93864154815674
