filename,depth,qops,swap_count,final_depth,runtime,init_time
benchmarks/qasmbench-large/adder_n28__42CYC.json,233,,68,274,0.2547,1.4484
benchmarks/qasmbench-large/adder_n64__78CYC.json,461,,161,527,1.6353,2.1447
benchmarks/qasmbench-large/bv_n30__22CYC.json,24,,10,59,0.0445,0.0606
benchmarks/qasmbench-large/bv_n70__40CYC.json,42,,33,140,0.1084,0.0771
benchmarks/qasmbench-large/cat_n35__36CYC.json,37,,0,37,0.0088,0.0037
benchmarks/qasmbench-large/cat_n65__66CYC.json,67,,0,67,0.0159,0.0052
benchmarks/qasmbench-large/dnn_n51__58CYC.json,293,,147,384,0.8098,0.0899
benchmarks/qasmbench-large/ghz_n40__41CYC.json,42,,0,42,0.0101,0.0035
benchmarks/qasmbench-large/ghz_n78__79CYC.json,80,,0,80,0.0181,0.005
benchmarks/qasmbench-large/ising_n34__16CYC.json,10,,0,10,0.0448,0.0037
benchmarks/qasmbench-large/ising_n66__16CYC.json,10,,0,10,0.0873,0.0049
benchmarks/qasmbench-large/knn_n31__18CYC.json,133,,29,207,0.1107,0.0757
benchmarks/qasmbench-large/knn_n67__36CYC.json,277,,65,441,0.2525,0.0887
benchmarks/qasmbench-large/multiplier_n45__462CYC.json,2440,,1965,3835,8.1757,1.46
benchmarks/qasmbench-large/multiplier_n75__1308CYC.json,6928,,timeout,timeout,30,30
benchmarks/qasmbench-large/qft_n29__222CYC.json,225,,399,417,1.2161,0.0518
benchmarks/qasmbench-large/qft_n63__494CYC.json,497,,1939,1228,12.2221,0.1096
benchmarks/qasmbench-large/qugan_n39__40CYC.json,260,,93,289,0.2422,0.0465
benchmarks/qasmbench-large/qugan_n71__72CYC.json,468,,173,514,0.4319,0.042
benchmarks/qasmbench-large/swap_test_n41__23CYC.json,174,,39,273,0.0686,0.0329
benchmarks/qasmbench-large/wstate_n36__73CYC.json,144,,0,144,0.0246,0.0017
benchmarks/qasmbench-large/wstate_n76__153CYC.json,304,,0,304,0.0841,0.0042
