filename,depth,qops,swap_count,final_depth,runtime,init_time
benchmarks/qasmbench-large/adder_n28__42CYC.json,233,,77,293,0.2625,0.2161
benchmarks/qasmbench-large/adder_n64__78CYC.json,461,,246,571,1.6398,0.3161
benchmarks/qasmbench-large/bv_n30__22CYC.json,24,,16,55,0.043,0.0805
benchmarks/qasmbench-large/bv_n70__40CYC.json,42,,42,128,0.0774,0.0981
benchmarks/qasmbench-large/cat_n35__36CYC.json,37,,7,44,0.0129,0.0756
benchmarks/qasmbench-large/cat_n65__66CYC.json,67,,14,81,0.0202,0.1033
benchmarks/qasmbench-large/dnn_n51__58CYC.json,293,,154,442,0.7899,0.3849
benchmarks/qasmbench-large/ghz_n40__41CYC.json,42,,8,50,0.0135,0.0866
benchmarks/qasmbench-large/ghz_n78__79CYC.json,80,,16,96,0.0289,0.1179
benchmarks/qasmbench-large/ising_n34__16CYC.json,10,,7,19,0.0555,0.1368
benchmarks/qasmbench-large/ising_n66__16CYC.json,10,,13,19,0.3844,0.1951
benchmarks/qasmbench-large/knn_n31__18CYC.json,133,,34,207,0.149,0.1682
benchmarks/qasmbench-large/knn_n67__36CYC.json,277,,141,463,0.6948,0.2422
benchmarks/qasmbench-large/multiplier_n45__462CYC.json,2440,,1499,3407,4.795,0.8719
benchmarks/qasmbench-large/multiplier_n75__1308CYC.json,6928,,timeout,timeout,30,30
benchmarks/qasmbench-large/qft_n29__222CYC.json,225,,427,498,1.7816,0.3294
benchmarks/qasmbench-large/qft_n63__494CYC.json,497,,2259,1556,14.2379,1.2947
benchmarks/qasmbench-large/qugan_n39__40CYC.json,260,,106,347,0.3359,0.1574
benchmarks/qasmbench-large/qugan_n71__72CYC.json,468,,266,803,0.7945,0.2391
benchmarks/qasmbench-large/swap_test_n41__23CYC.json,174,,57,286,0.1427,0.122
benchmarks/qasmbench-large/wstate_n36__73CYC.json,144,,8,151,0.0405,0.0699
benchmarks/qasmbench-large/wstate_n76__153CYC.json,304,,17,320,0.0746,0.1408
