filename,depth,qops,swap_count,final_depth,runtime,init_time
benchmarks/qasmbench-medium/bigadder_n18__37CYC.json,180,,45,240,0.11,0.453
benchmarks/qasmbench-medium/bv_n14__17CYC.json,19,,7,42,0.0131,0.0313
benchmarks/qasmbench-medium/bv_n19__22CYC.json,24,,10,59,0.0183,0.0321
benchmarks/qasmbench-medium/cat_state_n22__23CYC.json,24,,0,24,0.0036,0.0017
benchmarks/qasmbench-medium/dnn_n16__173CYC.json,245,,10,336,0.3502,0.3879
benchmarks/qasmbench-medium/ghz_state_n23__24CYC.json,25,,0,25,0.0035,0.0018
benchmarks/qasmbench-medium/ising_n26__16CYC.json,10,,0,10,0.0182,0.0019
benchmarks/qasmbench-medium/knn_n25__15CYC.json,109,,23,168,0.0588,0.0456
benchmarks/qasmbench-medium/multiplier_n15__49CYC.json,256,,130,370,0.2783,0.4512
benchmarks/qasmbench-medium/multiply_n13__7CYC.json,41,,26,73,0.026,0.3115
benchmarks/qasmbench-medium/qec9xz_n17__16CYC.json,24,,23,41,0.0251,0.5648
benchmarks/qasmbench-medium/qf21_n15__52CYC.json,235,,65,309,0.0708,0.0521
benchmarks/qasmbench-medium/qft_n18__134CYC.json,137,,145,242,0.279,0.0517
benchmarks/qasmbench-medium/qram_n20__24CYC.json,143,,74,199,0.0887,0.8148
benchmarks/qasmbench-medium/sat_n11__51CYC.json,457,,117,575,0.1685,0.3195
benchmarks/qasmbench-medium/seca_n11__37CYC.json,87,,25,111,0.0561,0.262
benchmarks/qasmbench-medium/square_root_n18__203CYC.json,1429,,588,2149,0.8151,0.9289
benchmarks/qasmbench-medium/swap_test_n25__15CYC.json,110,,23,169,0.0599,0.0409
benchmarks/qasmbench-medium/wstate_n27__55CYC.json,108,,0,108,0.03,0.002
