filename,depth,qops,swap_count,final_depth,runtime,init_time
benchmarks/qasmbench-medium/bigadder_n18__37CYC.json,180,,45,239,0.0774,0.0985
benchmarks/qasmbench-medium/bv_n14__17CYC.json,19,,9,51,0.0232,0.0758
benchmarks/qasmbench-medium/bv_n19__22CYC.json,24,,15,63,0.0224,0.0819
benchmarks/qasmbench-medium/cat_state_n22__23CYC.json,24,,5,29,0.0057,0.0558
benchmarks/qasmbench-medium/dnn_n16__173CYC.json,245,,12,296,0.425,0.2168
benchmarks/qasmbench-medium/ghz_state_n23__24CYC.json,25,,5,30,0.0056,0.0772
benchmarks/qasmbench-medium/ising_n26__16CYC.json,10,,6,19,0.0267,0.0634
benchmarks/qasmbench-medium/knn_n25__15CYC.json,109,,28,180,0.0664,0.0888
benchmarks/qasmbench-medium/multiplier_n15__49CYC.json,256,,102,335,0.2524,0.1668
benchmarks/qasmbench-medium/multiply_n13__7CYC.json,41,,20,64,0.0447,0.0799
benchmarks/qasmbench-medium/qec9xz_n17__16CYC.json,24,,28,45,0.0546,0.1298
benchmarks/qasmbench-medium/qf21_n15__52CYC.json,235,,59,303,0.1103,0.1163
benchmarks/qasmbench-medium/qft_n18__134CYC.json,137,,138,260,0.5617,0.3487
benchmarks/qasmbench-medium/qram_n20__24CYC.json,143,,93,236,0.1269,0.1345
benchmarks/qasmbench-medium/sat_n11__51CYC.json,457,,116,591,0.178,0.2567
benchmarks/qasmbench-medium/seca_n11__37CYC.json,87,,30,110,0.0993,0.124
benchmarks/qasmbench-medium/square_root_n18__203CYC.json,1429,,581,2153,0.7921,0.5553
benchmarks/qasmbench-medium/swap_test_n25__15CYC.json,110,,28,181,0.1216,0.1
benchmarks/qasmbench-medium/wstate_n27__55CYC.json,108,,6,113,0.0433,0.0892
