filename,depth,qops,swap_count,final_depth,runtime,init_time
benchmarks/queko-bss-54qbt/54QBT_100CYC_QSE_0.json,100,,1056,467,10.5233,1.8265
benchmarks/queko-bss-54qbt/54QBT_100CYC_QSE_1.json,100,,1222,517,7.1481,0.8892
benchmarks/queko-bss-54qbt/54QBT_100CYC_QSE_2.json,100,,1138,542,12.2899,1.3292
benchmarks/queko-bss-54qbt/54QBT_100CYC_QSE_3.json,100,,1202,517,6.8488,1.7016
benchmarks/queko-bss-54qbt/54QBT_100CYC_QSE_4.json,100,,904,435,10.9772,0.9116
benchmarks/queko-bss-54qbt/54QBT_100CYC_QSE_5.json,100,,1006,449,11.078,1.4948
benchmarks/queko-bss-54qbt/54QBT_100CYC_QSE_6.json,100,,1003,442,11.4156,1.855
benchmarks/queko-bss-54qbt/54QBT_100CYC_QSE_7.json,100,,1362,600,15.5509,1.7999
benchmarks/queko-bss-54qbt/54QBT_100CYC_QSE_8.json,100,,989,457,10.5582,1.7002
benchmarks/queko-bss-54qbt/54QBT_100CYC_QSE_9.json,100,,1030,512,11.7483,1.9628
benchmarks/queko-bss-54qbt/54QBT_200CYC_QSE_0.json,200,,2075,972,10.2153,1.7139
benchmarks/queko-bss-54qbt/54QBT_200CYC_QSE_1.json,200,,2238,1113,10.5255,1.0301
benchmarks/queko-bss-54qbt/54QBT_200CYC_QSE_2.json,200,,2425,1011,16.931,2.2039
benchmarks/queko-bss-54qbt/54QBT_200CYC_QSE_3.json,200,,2033,923,10.3453,1.1713
benchmarks/queko-bss-54qbt/54QBT_200CYC_QSE_4.json,200,,2435,1137,19.5362,0.9189
benchmarks/queko-bss-54qbt/54QBT_200CYC_QSE_5.json,200,,2160,945,13.0934,0.8032
benchmarks/queko-bss-54qbt/54QBT_200CYC_QSE_6.json,200,,2565,1133,16.3768,1.462
benchmarks/queko-bss-54qbt/54QBT_200CYC_QSE_7.json,200,,2185,1002,12.2151,0.9535
benchmarks/queko-bss-54qbt/54QBT_200CYC_QSE_8.json,200,,2212,985,11.0101,1.1108
benchmarks/queko-bss-54qbt/54QBT_200CYC_QSE_9.json,200,,2135,1058,11.2467,1.1095
benchmarks/queko-bss-54qbt/54QBT_300CYC_QSE_0.json,300,,3303,1614,23.9254,1.8884
benchmarks/queko-bss-54qbt/54QBT_300CYC_QSE_1.json,300,,3217,1450,16.3116,1.0882
benchmarks/queko-bss-54qbt/54QBT_300CYC_QSE_2.json,300,,3283,1415,15.5651,1.25
benchmarks/queko-bss-54qbt/54QBT_300CYC_QSE_3.json,300,,3957,1757,21.3023,1.3123
benchmarks/queko-bss-54qbt/54QBT_300CYC_QSE_4.json,300,,3501,1611,16.5967,1.0518
benchmarks/queko-bss-54qbt/54QBT_300CYC_QSE_5.json,300,,timeout,timeout,30,30
benchmarks/queko-bss-54qbt/54QBT_300CYC_QSE_6.json,300,,3189,1644,14.3396,1.1995
benchmarks/queko-bss-54qbt/54QBT_300CYC_QSE_7.json,300,,3376,1545,17.4481,0.8993
benchmarks/queko-bss-54qbt/54QBT_300CYC_QSE_8.json,300,,3615,1603,21.5992,1.2227
benchmarks/queko-bss-54qbt/54QBT_300CYC_QSE_9.json,300,,3106,1403,15.041,0.9672
benchmarks/queko-bss-54qbt/54QBT_400CYC_QSE_0.json,400,,4350,2166,18.0872,1.3607
benchmarks/queko-bss-54qbt/54QBT_400CYC_QSE_1.json,400,,4315,2027,18.3785,0.7444
benchmarks/queko-bss-54qbt/54QBT_400CYC_QSE_2.json,400,,4597,2259,17.969,0.999
benchmarks/queko-bss-54qbt/54QBT_400CYC_QSE_3.json,400,,5367,2279,25.6795,1.13
benchmarks/queko-bss-54qbt/54QBT_400CYC_QSE_4.json,400,,4376,2093,18.4156,1.213
benchmarks/queko-bss-54qbt/54QBT_400CYC_QSE_5.json,400,,timeout,timeout,30,30
benchmarks/queko-bss-54qbt/54QBT_400CYC_QSE_6.json,400,,timeout,timeout,30,30
benchmarks/queko-bss-54qbt/54QBT_400CYC_QSE_7.json,400,,4185,1945,16.7427,1.2641
benchmarks/queko-bss-54qbt/54QBT_400CYC_QSE_8.json,400,,4898,2227,20.8018,0.8825
benchmarks/queko-bss-54qbt/54QBT_400CYC_QSE_9.json,400,,5307,2474,24.7744,2.1751
benchmarks/queko-bss-54qbt/54QBT_500CYC_QSE_0.json,500,,5438,2484,22.8164,1.0314
benchmarks/queko-bss-54qbt/54QBT_500CYC_QSE_1.json,500,,5462,2739,21.5522,1.2562
benchmarks/queko-bss-54qbt/54QBT_500CYC_QSE_2.json,500,,5575,2665,26.2826,1.3329
benchmarks/queko-bss-54qbt/54QBT_500CYC_QSE_3.json,500,,5829,2832,23.8584,0.9733
benchmarks/queko-bss-54qbt/54QBT_500CYC_QSE_4.json,500,,5535,2671,20.6807,1.0538
