name,swaps,depth
16QBT_100CYC_QSE_0,123,203
16QBT_100CYC_QSE_1,122,173
16QBT_100CYC_QSE_2,137,209
16QBT_100CYC_QSE_3,114,177
16QBT_100CYC_QSE_4,140,218
16QBT_100CYC_QSE_5,134,247
16QBT_100CYC_QSE_6,127,213
16QBT_100CYC_QSE_7,111,189
16QBT_100CYC_QSE_8,115,191
16QBT_100CYC_QSE_9,109,168
16QBT_200CYC_QSE_0,228,348
16QBT_200CYC_QSE_1,306,447
16QBT_200CYC_QSE_2,269,432
16QBT_200CYC_QSE_3,209,347
16QBT_200CYC_QSE_4,211,345
16QBT_200CYC_QSE_5,215,344
16QBT_200CYC_QSE_6,256,397
16QBT_200CYC_QSE_7,272,415
16QBT_200CYC_QSE_8,200,345
16QBT_200CYC_QSE_9,274,449
16QBT_300CYC_QSE_0,344,644
16QBT_300CYC_QSE_1,526,847
16QBT_300CYC_QSE_2,340,521
16QBT_300CYC_QSE_3,401,655
16QBT_300CYC_QSE_4,343,608
16QBT_300CYC_QSE_5,377,584
16QBT_300CYC_QSE_6,353,572
16QBT_300CYC_QSE_7,355,597
16QBT_300CYC_QSE_8,353,649
16QBT_300CYC_QSE_9,373,563
16QBT_400CYC_QSE_0,523,856
16QBT_400CYC_QSE_1,429,712
16QBT_400CYC_QSE_2,529,880
16QBT_400CYC_QSE_3,467,751
16QBT_400CYC_QSE_4,447,725
16QBT_400CYC_QSE_5,454,773
16QBT_400CYC_QSE_6,539,870
16QBT_400CYC_QSE_7,489,731
16QBT_400CYC_QSE_8,437,773
16QBT_400CYC_QSE_9,511,816
16QBT_500CYC_QSE_0,583,923
16QBT_500CYC_QSE_1,613,1074
16QBT_500CYC_QSE_2,629,1232
16QBT_500CYC_QSE_3,587,892
16QBT_500CYC_QSE_4,574,874
16QBT_500CYC_QSE_5,537,917
16QBT_500CYC_QSE_6,551,928
16QBT_500CYC_QSE_7,666,1166
16QBT_500CYC_QSE_8,523,842
16QBT_500CYC_QSE_9,560,916
16QBT_600CYC_QSE_0,690,1214
16QBT_600CYC_QSE_1,678,1136
16QBT_600CYC_QSE_2,645,1071
16QBT_600CYC_QSE_3,807,1369
16QBT_600CYC_QSE_4,656,1101
16QBT_600CYC_QSE_5,670,1091
16QBT_600CYC_QSE_6,661,1108
16QBT_600CYC_QSE_7,647,1029
16QBT_600CYC_QSE_8,710,1173
16QBT_600CYC_QSE_9,637,1079
16QBT_700CYC_QSE_0,749,1314
16QBT_700CYC_QSE_1,774,1248
16QBT_700CYC_QSE_2,796,1262
16QBT_700CYC_QSE_3,976,1659
16QBT_700CYC_QSE_4,785,1274
16QBT_700CYC_QSE_5,792,1260
16QBT_700CYC_QSE_6,826,1314
16QBT_700CYC_QSE_7,1020,1665
16QBT_700CYC_QSE_8,803,1201
16QBT_700CYC_QSE_9,946,1733
16QBT_800CYC_QSE_0,859,1427
16QBT_800CYC_QSE_1,914,1586
16QBT_800CYC_QSE_2,1044,1850
16QBT_800CYC_QSE_3,1002,1631
16QBT_800CYC_QSE_4,968,1668
16QBT_800CYC_QSE_5,917,1459
16QBT_800CYC_QSE_6,965,1528
16QBT_800CYC_QSE_7,949,1525
16QBT_800CYC_QSE_8,985,1698
16QBT_800CYC_QSE_9,877,1436
16QBT_900CYC_QSE_0,989,1698
16QBT_900CYC_QSE_1,1093,1739
16QBT_900CYC_QSE_2,1189,2067
16QBT_900CYC_QSE_3,982,1594
16QBT_900CYC_QSE_4,1014,1614
16QBT_900CYC_QSE_5,1103,1797
16QBT_900CYC_QSE_6,1062,1806
16QBT_900CYC_QSE_7,993,1642
16QBT_900CYC_QSE_8,1080,1823
16QBT_900CYC_QSE_9,1107,1875
