name,swaps,depth,pick,init_s
16QBT_100CYC_QSE_0,123,203,car,0.8
16QBT_100CYC_QSE_1,122,173,car,0.7
16QBT_100CYC_QSE_2,121,208,decay,0.7
16QBT_100CYC_QSE_3,109,176,raw,0.7
16QBT_100CYC_QSE_4,119,193,decay,0.6
16QBT_100CYC_QSE_5,101,187,decay,0.6
16QBT_100CYC_QSE_6,110,216,decay,0.6
16QBT_100CYC_QSE_7,111,189,car,0.7
16QBT_100CYC_QSE_8,115,191,car,0.6
16QBT_100CYC_QSE_9,109,168,car,0.7
16QBT_200CYC_QSE_0,212,341,raw,0.7
16QBT_200CYC_QSE_1,230,401,decay,0.7
16QBT_200CYC_QSE_2,231,449,raw,0.7
16QBT_200CYC_QSE_3,236,435,decay,0.7
16QBT_200CYC_QSE_4,288,441,decay,0.7
16QBT_200CYC_QSE_5,215,344,car,0.7
16QBT_200CYC_QSE_6,301,475,raw,0.7
16QBT_200CYC_QSE_7,272,415,car,0.7
16QBT_200CYC_QSE_8,200,345,car,0.7
16QBT_200CYC_QSE_9,260,398,decay,0.7
16QBT_300CYC_QSE_0,393,719,decay,0.7
16QBT_300CYC_QSE_1,526,847,car,0.7
16QBT_300CYC_QSE_2,340,521,car,0.7
16QBT_300CYC_QSE_3,401,655,car,0.7
16QBT_300CYC_QSE_4,334,705,decay,0.7
16QBT_300CYC_QSE_5,377,584,car,0.7
16QBT_300CYC_QSE_6,353,572,car,0.6
16QBT_300CYC_QSE_7,355,597,car,0.7
16QBT_300CYC_QSE_8,311,542,raw,0.7
16QBT_300CYC_QSE_9,373,563,car,0.7
16QBT_400CYC_QSE_0,523,856,car,0.7
16QBT_400CYC_QSE_1,429,712,car,0.7
16QBT_400CYC_QSE_2,529,880,car,0.7
16QBT_400CYC_QSE_3,461,757,raw,0.7
16QBT_400CYC_QSE_4,445,728,raw,0.7
16QBT_400CYC_QSE_5,454,773,car,0.7
16QBT_400CYC_QSE_6,455,708,raw,0.7
16QBT_400CYC_QSE_7,549,909,decay,0.7
16QBT_400CYC_QSE_8,437,773,car,0.7
16QBT_400CYC_QSE_9,511,816,car,0.7
16QBT_500CYC_QSE_0,572,917,raw,0.7
16QBT_500CYC_QSE_1,613,1074,car,0.7
16QBT_500CYC_QSE_2,798,1532,decay,0.7
16QBT_500CYC_QSE_3,586,938,raw,0.7
16QBT_500CYC_QSE_4,574,874,car,0.7
16QBT_500CYC_QSE_5,537,917,car,0.7
16QBT_500CYC_QSE_6,551,928,car,0.7
16QBT_500CYC_QSE_7,666,1166,car,0.7
16QBT_500CYC_QSE_8,557,965,raw,0.7
16QBT_500CYC_QSE_9,560,916,car,0.7
16QBT_600CYC_QSE_0,699,1197,raw,0.7
16QBT_600CYC_QSE_1,762,1300,decay,0.7
16QBT_600CYC_QSE_2,656,1105,decay,0.7
16QBT_600CYC_QSE_3,652,1036,raw,0.7
16QBT_600CYC_QSE_4,824,1809,raw,0.7
16QBT_600CYC_QSE_5,733,1353,decay,0.7
16QBT_600CYC_QSE_6,661,1108,car,0.7
16QBT_600CYC_QSE_7,892,1620,decay,0.7
16QBT_600CYC_QSE_8,710,1173,car,0.7
16QBT_600CYC_QSE_9,637,1079,car,0.7
16QBT_700CYC_QSE_0,749,1314,car,0.8
16QBT_700CYC_QSE_1,777,1310,raw,0.7
16QBT_700CYC_QSE_2,765,1289,raw,0.7
16QBT_700CYC_QSE_3,824,1330,raw,0.7
16QBT_700CYC_QSE_4,798,1286,raw,0.7
16QBT_700CYC_QSE_5,792,1260,car,0.7
16QBT_700CYC_QSE_6,832,1306,decay,0.7
16QBT_700CYC_QSE_7,1017,1640,raw,0.7
16QBT_700CYC_QSE_8,803,1201,car,0.7
16QBT_700CYC_QSE_9,946,1733,car,0.7
16QBT_800CYC_QSE_0,859,1427,car,0.7
16QBT_800CYC_QSE_1,914,1586,car,0.7
16QBT_800CYC_QSE_2,930,1707,decay,0.8
16QBT_800CYC_QSE_3,1002,1631,car,0.7
16QBT_800CYC_QSE_4,968,1668,car,0.7
16QBT_800CYC_QSE_5,917,1459,car,0.9
16QBT_800CYC_QSE_6,954,1501,decay,0.7
16QBT_800CYC_QSE_7,949,1525,car,0.7
16QBT_800CYC_QSE_8,1086,1997,raw,0.7
16QBT_800CYC_QSE_9,992,1703,raw,0.7
16QBT_900CYC_QSE_0,989,1698,car,0.7
16QBT_900CYC_QSE_1,1105,1803,decay,0.8
16QBT_900CYC_QSE_2,1189,2067,car,0.7
16QBT_900CYC_QSE_3,982,1594,car,0.8
16QBT_900CYC_QSE_4,1014,1614,car,0.7
16QBT_900CYC_QSE_5,1084,1736,raw,0.8
16QBT_900CYC_QSE_6,1060,1832,decay,0.9
16QBT_900CYC_QSE_7,1335,2669,raw,0.8
16QBT_900CYC_QSE_8,1080,1823,car,0.9
16QBT_900CYC_QSE_9,1107,1875,car,0.8
