name,swaps,depth,pick,init_s
16QBT_100CYC_QSE_0,111,195,decay,1.1
16QBT_100CYC_QSE_1,122,173,car,1.0
16QBT_100CYC_QSE_2,97,163,raw,0.9
16QBT_100CYC_QSE_3,109,176,raw,0.9
16QBT_100CYC_QSE_4,119,193,decay,1.0
16QBT_100CYC_QSE_5,128,219,raw,1.0
16QBT_100CYC_QSE_6,110,216,decay,0.9
16QBT_100CYC_QSE_7,101,178,decay,1.0
16QBT_100CYC_QSE_8,110,281,decay,1.0
16QBT_100CYC_QSE_9,109,168,car,1.0
16QBT_200CYC_QSE_0,212,341,raw,1.1
16QBT_200CYC_QSE_1,230,401,decay,1.4
16QBT_200CYC_QSE_2,231,449,raw,1.1
16QBT_200CYC_QSE_3,256,449,raw,1.1
16QBT_200CYC_QSE_4,211,345,car,1.1
16QBT_200CYC_QSE_5,215,344,car,1.1
16QBT_200CYC_QSE_6,259,431,decay,1.4
16QBT_200CYC_QSE_7,272,415,car,1.1
16QBT_200CYC_QSE_8,200,345,car,1.3
16QBT_200CYC_QSE_9,260,398,decay,1.3
16QBT_300CYC_QSE_0,307,525,raw,1.3
16QBT_300CYC_QSE_1,395,600,raw,1.3
16QBT_300CYC_QSE_2,330,534,decay,1.5
16QBT_300CYC_QSE_3,445,666,raw,1.6
16QBT_300CYC_QSE_4,343,679,raw,1.5
16QBT_300CYC_QSE_5,377,584,car,1.3
16QBT_300CYC_QSE_6,348,616,decay,1.3
16QBT_300CYC_QSE_7,355,597,car,1.4
16QBT_300CYC_QSE_8,311,542,raw,1.4
16QBT_300CYC_QSE_9,373,563,car,1.3
16QBT_400CYC_QSE_0,510,889,raw,1.5
16QBT_400CYC_QSE_1,418,711,raw,1.5
16QBT_400CYC_QSE_2,422,750,decay,1.5
16QBT_400CYC_QSE_3,464,762,decay,1.6
16QBT_400CYC_QSE_4,447,725,car,1.6
16QBT_400CYC_QSE_5,443,743,decay,1.5
16QBT_400CYC_QSE_6,455,708,raw,1.4
16QBT_400CYC_QSE_7,549,909,decay,1.4
16QBT_400CYC_QSE_8,437,773,car,1.6
16QBT_400CYC_QSE_9,577,943,raw,1.6
16QBT_500CYC_QSE_0,583,923,car,1.6
16QBT_500CYC_QSE_1,613,1074,car,1.7
16QBT_500CYC_QSE_2,558,932,raw,1.5
16QBT_500CYC_QSE_3,586,938,raw,1.7
16QBT_500CYC_QSE_4,574,874,car,1.7
16QBT_500CYC_QSE_5,572,1059,decay,1.9
16QBT_500CYC_QSE_6,551,928,car,1.6
16QBT_500CYC_QSE_7,545,905,decay,1.7
16QBT_500CYC_QSE_8,557,965,raw,1.4
16QBT_500CYC_QSE_9,590,941,raw,1.7
16QBT_600CYC_QSE_0,699,1197,raw,2.0
16QBT_600CYC_QSE_1,678,1136,car,1.7
16QBT_600CYC_QSE_2,656,1105,decay,1.8
16QBT_600CYC_QSE_3,652,1036,raw,1.9
16QBT_600CYC_QSE_4,656,1101,car,1.8
16QBT_600CYC_QSE_5,640,1051,raw,1.8
16QBT_600CYC_QSE_6,661,1108,car,2.0
16QBT_600CYC_QSE_7,647,1029,car,1.9
16QBT_600CYC_QSE_8,710,1173,car,1.8
16QBT_600CYC_QSE_9,637,1079,car,2.2
16QBT_700CYC_QSE_0,739,1317,decay,2.1
16QBT_700CYC_QSE_1,777,1310,raw,2.2
16QBT_700CYC_QSE_2,796,1262,car,1.7
16QBT_700CYC_QSE_3,824,1330,raw,1.9
16QBT_700CYC_QSE_4,785,1274,car,2.0
16QBT_700CYC_QSE_5,768,1275,decay,1.9
16QBT_700CYC_QSE_6,832,1306,decay,2.0
16QBT_700CYC_QSE_7,809,1333,decay,2.3
16QBT_700CYC_QSE_8,803,1201,car,2.4
16QBT_700CYC_QSE_9,759,1256,raw,1.9
16QBT_800CYC_QSE_0,859,1427,car,2.0
16QBT_800CYC_QSE_1,914,1586,car,2.1
16QBT_800CYC_QSE_2,930,1707,decay,2.0
16QBT_800CYC_QSE_3,972,1615,decay,2.2
16QBT_800CYC_QSE_4,968,1668,car,2.2
16QBT_800CYC_QSE_5,917,1459,car,2.2
16QBT_800CYC_QSE_6,954,1501,decay,1.9
16QBT_800CYC_QSE_7,949,1525,car,2.3
16QBT_800CYC_QSE_8,985,1698,car,2.1
16QBT_800CYC_QSE_9,860,1446,decay,2.3
16QBT_900CYC_QSE_0,989,1698,car,2.9
16QBT_900CYC_QSE_1,1093,1739,car,2.3
16QBT_900CYC_QSE_2,1040,1602,decay,2.2
16QBT_900CYC_QSE_3,980,1606,decay,2.5
16QBT_900CYC_QSE_4,1014,1614,car,2.3
16QBT_900CYC_QSE_5,1103,1797,car,2.3
16QBT_900CYC_QSE_6,1060,1832,decay,2.4
16QBT_900CYC_QSE_7,993,1642,car,2.2
16QBT_900CYC_QSE_8,1080,1823,car,2.6
16QBT_900CYC_QSE_9,1107,1875,car,2.6
