name,swaps,depth,pick,init_s
16QBT_100CYC_QSE_0,111,195,decay,1.9
16QBT_100CYC_QSE_1,109,153,breathe,1.6
16QBT_100CYC_QSE_2,97,163,raw,1.7
16QBT_100CYC_QSE_3,109,176,raw,1.6
16QBT_100CYC_QSE_4,119,193,decay,1.8
16QBT_100CYC_QSE_5,101,187,decay,1.9
16QBT_100CYC_QSE_6,110,216,decay,1.8
16QBT_100CYC_QSE_7,101,178,decay,1.6
16QBT_100CYC_QSE_8,115,191,car0,1.7
16QBT_100CYC_QSE_9,104,177,raw,1.6
16QBT_200CYC_QSE_0,212,341,raw,2.1
16QBT_200CYC_QSE_1,230,401,decay,2.6
16QBT_200CYC_QSE_2,231,449,raw,2.6
16QBT_200CYC_QSE_3,209,347,car0,2.2
16QBT_200CYC_QSE_4,211,345,car0,2.0
16QBT_200CYC_QSE_5,215,344,car0,1.8
16QBT_200CYC_QSE_6,234,375,breathe,2.3
16QBT_200CYC_QSE_7,253,372,raw,2.7
16QBT_200CYC_QSE_8,200,345,car0,2.7
16QBT_200CYC_QSE_9,270,556,raw,3.7
16QBT_300CYC_QSE_0,307,525,raw,4.0
16QBT_300CYC_QSE_1,391,601,decay,2.7
16QBT_300CYC_QSE_2,330,534,decay,3.7
16QBT_300CYC_QSE_3,384,718,breathe,3.0
16QBT_300CYC_QSE_4,343,679,raw,3.4
16QBT_300CYC_QSE_5,353,518,breathe,3.6
16QBT_300CYC_QSE_6,353,572,car0,3.1
16QBT_300CYC_QSE_7,308,547,breathe,2.5
16QBT_300CYC_QSE_8,311,542,raw,2.7
16QBT_300CYC_QSE_9,366,565,breathe,2.6
16QBT_400CYC_QSE_0,492,783,breathe,3.2
16QBT_400CYC_QSE_1,418,711,raw,3.2
16QBT_400CYC_QSE_2,422,750,decay,3.6
16QBT_400CYC_QSE_3,464,762,decay,3.1
16QBT_400CYC_QSE_4,447,725,car0,3.4
16QBT_400CYC_QSE_5,443,743,decay,3.0
16QBT_400CYC_QSE_6,455,708,raw,2.9
16QBT_400CYC_QSE_7,470,721,breathe,3.7
16QBT_400CYC_QSE_8,437,773,car0,3.5
16QBT_400CYC_QSE_9,577,943,raw,4.7
16QBT_500CYC_QSE_0,583,923,car0,3.7
16QBT_500CYC_QSE_1,547,926,breathe,3.9
16QBT_500CYC_QSE_2,569,965,breathe,3.4
16QBT_500CYC_QSE_3,587,892,car0,3.4
16QBT_500CYC_QSE_4,567,889,breathe,3.0
16QBT_500CYC_QSE_5,572,1059,decay,3.2
16QBT_500CYC_QSE_6,546,925,breathe,3.1
16QBT_500CYC_QSE_7,533,899,breathe,3.0
16QBT_500CYC_QSE_8,536,851,decay,3.4
16QBT_500CYC_QSE_9,590,941,raw,3.0
16QBT_600CYC_QSE_0,699,1197,raw,3.6
16QBT_600CYC_QSE_1,678,1136,car0,3.8
16QBT_600CYC_QSE_2,692,1132,breathe,3.5
16QBT_600CYC_QSE_3,652,1036,raw,3.7
16QBT_600CYC_QSE_4,656,1101,car0,3.4
16QBT_600CYC_QSE_5,640,1051,raw,3.3
16QBT_600CYC_QSE_6,657,1109,car1,3.4
16QBT_600CYC_QSE_7,647,1029,car0,3.8
16QBT_600CYC_QSE_8,710,1173,car0,3.9
16QBT_600CYC_QSE_9,637,1079,car0,3.8
16QBT_700CYC_QSE_0,739,1317,decay,4.7
16QBT_700CYC_QSE_1,757,1242,breathe,5.0
16QBT_700CYC_QSE_2,765,1289,raw,4.5
16QBT_700CYC_QSE_3,824,1330,raw,5.1
16QBT_700CYC_QSE_4,779,1269,car1,4.5
16QBT_700CYC_QSE_5,768,1275,decay,4.3
16QBT_700CYC_QSE_6,832,1306,decay,4.4
16QBT_700CYC_QSE_7,809,1333,decay,4.1
16QBT_700CYC_QSE_8,803,1201,car0,4.3
16QBT_700CYC_QSE_9,759,1256,raw,4.5
16QBT_800CYC_QSE_0,859,1427,car0,5.0
16QBT_800CYC_QSE_1,914,1586,car0,5.1
16QBT_800CYC_QSE_2,997,1754,raw,5.1
16QBT_800CYC_QSE_3,921,1419,breathe,5.9
16QBT_800CYC_QSE_4,968,1668,car0,4.4
16QBT_800CYC_QSE_5,917,1459,car1,4.3
16QBT_800CYC_QSE_6,954,1501,decay,3.9
16QBT_800CYC_QSE_7,949,1521,car1,4.2
16QBT_800CYC_QSE_8,882,1449,breathe,4.4
16QBT_800CYC_QSE_9,860,1446,decay,4.5
16QBT_900CYC_QSE_0,1009,1667,breathe,4.6
16QBT_900CYC_QSE_1,1093,1739,car0,4.7
16QBT_900CYC_QSE_2,1040,1602,decay,4.5
16QBT_900CYC_QSE_3,980,1606,decay,4.5
16QBT_900CYC_QSE_4,1014,1614,car0,4.8
16QBT_900CYC_QSE_5,1103,1797,car0,4.9
16QBT_900CYC_QSE_6,1060,1832,decay,4.8
16QBT_900CYC_QSE_7,993,1642,car0,4.9
16QBT_900CYC_QSE_8,1101,1863,raw,4.8
16QBT_900CYC_QSE_9,1107,1875,car0,5.1
