name,swaps,depth
16QBT_100CYC_QSE_0,134,208
16QBT_100CYC_QSE_1,130,206
16QBT_100CYC_QSE_2,97,163
16QBT_100CYC_QSE_3,109,176
16QBT_100CYC_QSE_4,127,192
16QBT_100CYC_QSE_5,128,219
16QBT_100CYC_QSE_6,115,209
16QBT_100CYC_QSE_7,112,209
16QBT_100CYC_QSE_8,135,311
16QBT_100CYC_QSE_9,104,177
16QBT_200CYC_QSE_0,212,341
16QBT_200CYC_QSE_1,271,441
16QBT_200CYC_QSE_2,231,449
16QBT_200CYC_QSE_3,256,449
16QBT_200CYC_QSE_4,260,515
16QBT_200CYC_QSE_5,217,352
16QBT_200CYC_QSE_6,301,475
16QBT_200CYC_QSE_7,253,372
16QBT_200CYC_QSE_8,214,361
16QBT_200CYC_QSE_9,270,556
16QBT_300CYC_QSE_0,307,525
16QBT_300CYC_QSE_1,395,600
16QBT_300CYC_QSE_2,338,528
16QBT_300CYC_QSE_3,445,666
16QBT_300CYC_QSE_4,343,679
16QBT_300CYC_QSE_5,384,599
16QBT_300CYC_QSE_6,392,761
16QBT_300CYC_QSE_7,349,604
16QBT_300CYC_QSE_8,311,542
16QBT_300CYC_QSE_9,370,596
16QBT_400CYC_QSE_0,510,889
16QBT_400CYC_QSE_1,418,711
16QBT_400CYC_QSE_2,535,928
16QBT_400CYC_QSE_3,461,757
16QBT_400CYC_QSE_4,445,728
16QBT_400CYC_QSE_5,558,1147
16QBT_400CYC_QSE_6,455,708
16QBT_400CYC_QSE_7,530,1062
16QBT_400CYC_QSE_8,521,920
16QBT_400CYC_QSE_9,577,943
16QBT_500CYC_QSE_0,572,917
16QBT_500CYC_QSE_1,640,1120
16QBT_500CYC_QSE_2,558,932
16QBT_500CYC_QSE_3,586,938
16QBT_500CYC_QSE_4,717,1357
16QBT_500CYC_QSE_5,631,1132
16QBT_500CYC_QSE_6,553,917
16QBT_500CYC_QSE_7,721,1179
16QBT_500CYC_QSE_8,557,965
16QBT_500CYC_QSE_9,590,941
16QBT_600CYC_QSE_0,699,1197
16QBT_600CYC_QSE_1,773,1712
16QBT_600CYC_QSE_2,830,1684
16QBT_600CYC_QSE_3,652,1036
16QBT_600CYC_QSE_4,824,1809
16QBT_600CYC_QSE_5,640,1051
16QBT_600CYC_QSE_6,638,1055
16QBT_600CYC_QSE_7,785,1237
16QBT_600CYC_QSE_8,915,1695
16QBT_600CYC_QSE_9,814,1575
16QBT_700CYC_QSE_0,744,1315
16QBT_700CYC_QSE_1,777,1310
16QBT_700CYC_QSE_2,765,1289
16QBT_700CYC_QSE_3,824,1330
16QBT_700CYC_QSE_4,798,1286
16QBT_700CYC_QSE_5,830,1360
16QBT_700CYC_QSE_6,836,1298
16QBT_700CYC_QSE_7,1017,1640
16QBT_700CYC_QSE_8,811,1243
16QBT_700CYC_QSE_9,759,1256
16QBT_800CYC_QSE_0,1145,2276
16QBT_800CYC_QSE_1,924,1595
16QBT_800CYC_QSE_2,997,1754
16QBT_800CYC_QSE_3,973,1560
16QBT_800CYC_QSE_4,900,1479
16QBT_800CYC_QSE_5,899,1457
16QBT_800CYC_QSE_6,963,1526
16QBT_800CYC_QSE_7,962,1551
16QBT_800CYC_QSE_8,1086,1997
16QBT_800CYC_QSE_9,992,1703
16QBT_900CYC_QSE_0,1032,1766
16QBT_900CYC_QSE_1,1281,2497
16QBT_900CYC_QSE_2,1161,1995
16QBT_900CYC_QSE_3,1032,1735
16QBT_900CYC_QSE_4,1055,1696
16QBT_900CYC_QSE_5,1084,1736
16QBT_900CYC_QSE_6,1140,1996
16QBT_900CYC_QSE_7,1335,2669
16QBT_900CYC_QSE_8,1101,1863
16QBT_900CYC_QSE_9,1128,1883
