filename,final_depth,swap_count,runtime,init_time
adder_n28__42CYC.json,280,64,0.038042545318603516,0.002429962158203125
adder_n64__78CYC.json,504,122,0.16418790817260742,0.007147789001464844
bv_n30__22CYC.json,42,16,0.003162860870361328,0.0006072521209716797
bv_n70__40CYC.json,81,54,0.00972437858581543,0.005438566207885742
cat_n35__36CYC.json,38,1,0.0009818077087402344,0.0015339851379394531
cat_n65__66CYC.json,70,3,0.001295328140258789,0.0025284290313720703
dnn_n51__58CYC.json,497,104,0.13585734367370605,0.010655879974365234
ghz_n40__41CYC.json,43,1,0.0008656978607177734,0.0015044212341308594
ghz_n78__79CYC.json,85,5,0.0017452239990234375,0.0043506622314453125
ising_n34__16CYC.json,10,0,0.0035986900329589844,0.0011475086212158203
ising_n66__16CYC.json,15,2,0.006101369857788086,0.0025436878204345703
knn_n31__18CYC.json,217,44,0.010270833969116211,0.0035779476165771484
knn_n67__36CYC.json,439,115,0.03735542297363281,0.013482809066772461
multiplier_n45__462CYC.json,3337,1208,0.731795072555542,0.009150028228759766
multiplier_n75__1308CYC.json,9699,4351,5.5474488735198975,0.05971264839172363
qft_n29__222CYC.json,630,368,0.2644007205963135,0.021276235580444336
qft_n63__494CYC.json,1780,1528,1.9342081546783447,0.15373826026916504
qugan_n39__40CYC.json,332,60,0.04351091384887695,0.004366874694824219
qugan_n71__72CYC.json,633,151,0.10795950889587402,0.014700651168823242
swap_test_n41__23CYC.json,279,66,0.01497507095336914,0.003645658493041992
wstate_n36__73CYC.json,145,2,0.004068851470947266,0.0012314319610595703
wstate_n76__153CYC.json,307,4,0.010746955871582031,0.0030393600463867188
