filename,final_depth,swap_count,runtime,init_time
adder_n28__42CYC.json,264,52,0.041678667068481445,0.0013470649719238281
adder_n64__78CYC.json,491,116,0.24793386459350586,0.001834869384765625
bv_n30__22CYC.json,40,18,0.0033960342407226562,0.0006270408630371094
bv_n70__40CYC.json,76,54,0.009207487106323242,0.0015060901641845703
cat_n35__36CYC.json,38,2,0.0007860660552978516,0.0009777545928955078
cat_n65__66CYC.json,71,10,0.0016529560089111328,0.0018291473388671875
dnn_n51__58CYC.json,589,136,0.25371527671813965,0.0009992122650146484
ghz_n40__41CYC.json,43,1,0.0009319782257080078,0.0012485980987548828
ghz_n78__79CYC.json,86,15,0.002074003219604492,0.0019156932830810547
ising_n34__16CYC.json,14,1,0.004505634307861328,0.0006539821624755859
ising_n66__16CYC.json,19,8,0.008447885513305664,0.0009171962738037109
knn_n31__18CYC.json,205,42,0.011935234069824219,0.0010616779327392578
knn_n67__36CYC.json,467,124,0.038034677505493164,0.0021936893463134766
multiplier_n45__462CYC.json,3273,1281,0.8454611301422119,0.004042148590087891
multiplier_n75__1308CYC.json,9666,4254,2.8404133319854736,0.0062258243560791016
qft_n29__222CYC.json,609,321,0.22736358642578125,0.0010523796081542969
qft_n63__494CYC.json,2039,1627,2.0641143321990967,0.0034682750701904297
qugan_n39__40CYC.json,378,84,0.10829854011535645,0.0005664825439453125
qugan_n71__72CYC.json,824,350,0.9126472473144531,0.0010199546813964844
swap_test_n41__23CYC.json,272,65,0.016495227813720703,0.0011820793151855469
wstate_n36__73CYC.json,144,0,0.004487037658691406,0.0009832382202148438
wstate_n76__153CYC.json,309,9,0.009161710739135742,0.0018317699432373047
