filename,final_depth,swap_count,runtime,init_time
bigadder_n18__37CYC.json,234,54,0.0227217674255371,0.0015020370483398
bv_n14__17CYC.json,36,14,0.0030736923217773,0.0009794235229492
bv_n19__22CYC.json,47,21,0.0033988952636718,0.0007317066192626
cat_state_n22__23CYC.json,30,6,0.0007567405700683,0.0009911060333251
dnn_n16__173CYC.json,493,15,0.0746533870697021,0.0022792816162109
ghz_state_n23__24CYC.json,31,6,0.0008370876312255,0.0010075569152832
ising_n26__16CYC.json,15,5,0.0029840469360351,0.0011212825775146
knn_n25__15CYC.json,175,40,0.0141975879669189,0.0027921199798583
multiplier_n15__49CYC.json,320,94,0.0380020141601562,0.003058910369873
multiply_n13__7CYC.json,59,17,0.0039913654327392,0.0010297298431396
qec9xz_n17__16CYC.json,44,25,0.0122187137603759,0.0025191307067871
qf21_n15__52CYC.json,281,57,0.0130705833435058,0.0029563903808593
qft_n18__134CYC.json,311,125,0.0758895874023437,0.0089726448059082
qram_n20__24CYC.json,234,86,0.0288665294647216,0.0025608539581298
sat_n11__51CYC.json,550,94,0.0293877124786376,0.0020701885223388
seca_n11__37CYC.json,110,27,0.0174033641815185,0.0011200904846191
square_root_n18__203CYC.json,1910,447,0.1740806102752685,0.0032155513763427
swap_test_n25__15CYC.json,174,40,0.0269703865051269,0.0093917846679687
wstate_n27__55CYC.json,114,7,0.0072162151336669,0.0023539066314697
