filename,final_depth,swap_count,runtime,init_time
adder_n28__42CYC.json,275,57,0.02888631820678711,0.00164794921875
adder_n64__78CYC.json,540,167,0.24766826629638672,0.004898548126220703
bv_n30__22CYC.json,40,41,0.005485057830810547,0.0012476444244384766
bv_n70__40CYC.json,97,109,0.016092777252197266,0.003204345703125
cat_n35__36CYC.json,40,10,0.0012197494506835938,0.002010822296142578
cat_n65__66CYC.json,81,16,0.003080129623413086,0.004490852355957031
dnn_n51__58CYC.json,420,210,0.24896788597106934,0.0024263858795166016
ghz_n40__41CYC.json,48,9,0.001220703125,0.0016658306121826172
ghz_n78__79CYC.json,99,26,0.0035181045532226562,0.0048100948333740234
ising_n34__16CYC.json,14,1,0.004462242126464844,0.0006785392761230469
ising_n66__16CYC.json,28,18,0.009383201599121094,0.001031637191772461
knn_n31__18CYC.json,240,63,0.014057159423828125,0.002229928970336914
knn_n67__36CYC.json,516,244,0.06091761589050293,0.0032393932342529297
multiplier_n45__462CYC.json,3602,1837,0.740471601486206,0.004351615905761719
multiplier_n75__1308CYC.json,9813,5031,3.7635960578918457,0.008431434631347656
qft_n29__222CYC.json,423,400,0.22338247299194336,0.0012884140014648438
qft_n63__494CYC.json,1548,2414,2.414644956588745,0.005315303802490234
qugan_n39__40CYC.json,391,187,0.1419966220855713,0.0008513927459716797
qugan_n71__72CYC.json,764,454,1.2682993412017822,0.0016145706176757812
swap_test_n41__23CYC.json,304,106,0.02345728874206543,0.0022559165954589844
wstate_n36__73CYC.json,145,1,0.010774374008178711,0.0022115707397460938
wstate_n76__153CYC.json,321,38,0.02019476890563965,0.004974842071533203
