filename,depth,qops,swap_count,final_depth,runtime,init_time
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/adder_n28__42CYC.json,233,,49,259,0.0892,0.0443
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/adder_n64__78CYC.json,461,,146,541,1.0026,0.0916
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/bv_n30__22CYC.json,24,,11,50,0.018,0.0207
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/bv_n70__40CYC.json,42,,24,96,0.0337,0.0269
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/cat_n35__36CYC.json,37,,21,56,0.007,0.014
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/cat_n65__66CYC.json,67,,35,96,0.0139,0.0187
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/dnn_n51__58CYC.json,293,,98,414,0.5964,0.0765
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/ghz_n40__41CYC.json,42,,29,63,0.0125,0.0151
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/ghz_n78__79CYC.json,80,,57,137,0.0186,0.0193
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/ising_n34__16CYC.json,10,,12,16,0.0236,0.0208
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/ising_n66__16CYC.json,10,,36,24,0.3139,0.0341
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/knn_n31__18CYC.json,133,,29,195,0.041,0.0324
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/knn_n67__36CYC.json,277,,85,420,0.1652,0.06
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/multiplier_n45__462CYC.json,2440,,1203,3289,2.9319,0.4009
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/multiplier_n75__1308CYC.json,6928,,3856,9372,12.4196,1.1686
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/qft_n29__222CYC.json,225,,263,473,0.6871,0.1285
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/qft_n63__494CYC.json,497,,1532,1587,5.7971,0.5347
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/qugan_n39__40CYC.json,260,,82,391,0.2399,0.0716
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/qugan_n71__72CYC.json,468,,192,716,0.6186,0.1094
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/swap_test_n41__23CYC.json,174,,46,250,0.0668,0.0405
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/wstate_n36__73CYC.json,144,,14,151,0.0235,0.0222
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/wstate_n76__153CYC.json,304,,68,330,0.0652,0.0402
